"F","H2C","P-value","z"
66.350318207978,0.403712745624349,0.001,5
69.420199409137,0.414646498177258,0.001,5
67.874380090773,0.409191461958317,0.001,5
64.00498286952,0.395080334788653,0.001,5
64.602209626719,0.397302163205679,0.001,5
67.550948566463,0.408037218459935,0.001,5
69.034093149905,0.413293429192028,0.001,5
66.396315573097,0.403879584172156,0.001,5
64.341737962648,0.396335155518984,0.001,5
66.287749737134,0.40348565150595,0.001,5
67.029813425256,0.406167904053377,0.001,5
63.998851073717,0.395057438059202,0.001,5
66.495426103871,0.404238754103001,0.001,5
64.2350526151,0.395938187091397,0.001,5
66.846031762082,0.405505859301237,0.001,5
65.959330393755,0.402290801233152,0.001,5
63.646639581613,0.393739330098965,0.001,5
66.275807611006,0.403442287545729,0.001,5
66.576620966083,0.404532676483882,0.001,5
67.681918228485,0.408505158270488,0.001,5
66.31688113827,0.403591406305146,0.001,5
67.723155380435,0.408652340857072,0.001,5
67.342619485334,0.407291354733297,0.001,5
64.088339403892,0.395391424451555,0.001,5
66.293235115106,0.403505567765223,0.001,5
66.965555297363,0.405936591894305,0.001,5
65.171656330713,0.399405496004923,0.001,5
66.289667824218,0.403492615829893,0.001,5
64.922690595112,0.398487714375247,0.001,5
66.305456456834,0.403549936117025,0.001,5
63.064629195186,0.391548594563002,0.001,5
74.900408189802,0.433199718693433,0.001,6
76.531503121018,0.438496785694626,0.001,6
73.91406136332,0.429947735381059,0.001,6
74.189391615484,0.430859247015381,0.001,6
75.953880837963,0.436632287087137,0.001,6
74.22435856845,0.430974800460353,0.001,6
77.9780322374,0.443112309223944,0.001,6
75.27324263527,0.434419310739833,0.001,6
76.275083321032,0.43767061743718,0.001,6
75.045907717888,0.433676292653122,0.001,6
75.034309043497,0.433638331370659,0.001,6
73.898102359904,0.429894811783224,0.001,6
76.139092647958,0.43723147680505,0.001,6
75.711029469614,0.435844688162748,0.001,6
76.342752208875,0.437888878325215,0.001,6
77.259897512079,0.440830438730312,0.001,6
74.87524396404,0.433117213587936,0.001,6
76.586335740061,0.438673137937263,0.001,6
74.307135728479,0.431248162847835,0.001,6
74.448224152469,0.431713486864591,0.001,6
75.386839160721,0.434789857901735,0.001,6
75.41879225555,0.434894000094365,0.001,6
75.823108407358,0.436208448359266,0.001,6
74.651954708376,0.432384069062347,0.001,6
76.671405641197,0.438946519951253,0.001,6
76.006491598449,0.436802620984092,0.001,6
75.889436519218,0.436423500117735,0.001,6
76.292344756459,0.437726308995746,0.001,6
75.657134101148,0.435669599712967,0.001,6
75.961577379358,0.436657212033142,0.001,6
74.505266413867,0.431901401984547,0.001,6
75.349480215799,0.434668048164886,0.001,6
74.425028997937,0.431637039184304,0.001,6
75.901751337886,0.436463409677864,0.001,6
76.656581997637,0.438898901609525,0.001,6
75.839344116618,0.43626110361842,0.001,6
74.997194177679,0.43351682398185,0.001,6
76.711875831477,0.439076482158954,0.001,6
74.52670540612,0.431971996629088,0.001,6
75.646855347036,0.435636195057231,0.001,6
75.107535000783,0.433877907165873,0.001,6
75.635778993047,0.435600193875226,0.001,6
76.019682570828,0.436845312253038,0.001,6
75.755282204041,0.435988369637484,0.001,6
74.121182673961,0.43063370540722,0.001,6
75.711651346837,0.435846707804701,0.001,6
73.750592126801,0.429405169516691,0.001,6
75.024282738436,0.433605512191903,0.001,6
75.308504191115,0.434534384464302,0.001,6
74.613218389095,0.432256689756553,0.001,6
102.495924465604,0.511212009614627,0.001,7
103.505803699421,0.513661650429765,0.001,7
102.655456169441,0.511600621927543,0.001,7
102.891677767567,0.512174913918602,0.001,7
103.510126914022,0.51367208437215,0.001,7
102.568689946525,0.511389339850958,0.001,7
103.300880049935,0.513166559551602,0.001,7
102.24380581315,0.510596596973168,0.001,7
103.391602669172,0.513385867627332,0.001,7
102.530947335383,0.511297376777972,0.001,7
103.646443199396,0.514000849977335,0.001,7
103.737894464156,0.51422116176883,0.001,7
103.361408956516,0.513312900878823,0.001,7
102.170718145273,0.510417902738018,0.001,7
101.9768807726,0.509943351344504,0.001,7
103.336184623073,0.5132519264559,0.001,7
103.865991862672,0.514529420752215,0.001,7
102.187487243869,0.510458913545299,0.001,7
102.911307672682,0.512222576542789,0.001,7
102.427966103281,0.511046278095242,0.001,7
101.121714604048,0.507838709631081,0.001,7
102.921726254071,0.512247869719791,0.001,7
103.169494053958,0.512848603309036,0.001,7
104.14751555745,0.515205518456405,0.001,7
102.434099275103,0.511061239806847,0.001,7
102.459346985405,0.511122821291367,0.001,7
102.868553317701,0.512118754372668,0.001,7
103.344354249676,0.513271676451003,0.001,7
103.211230731404,0.512949651747721,0.001,7
101.79578920573,0.509499172181805,0.001,7
103.734134360349,0.514212107382151,0.001,7
102.182459658227,0.510446618713166,0.001,7
103.54661404435,0.513760127081892,0.001,7
102.272692868081,0.51066718783997,0.001,7
103.114477720485,0.512715339488373,0.001,7
102.700873696216,0.511711144076362,0.001,7
103.484262244038,0.513609654131189,0.001,7
103.394557753368,0.513393007769291,0.001,7
102.44469326359,0.511087081406903,0.001,7
103.1668946144,0.512842308433265,0.001,7
102.776246698589,0.511894451602533,0.001,7
103.087337546707,0.512649572093333,0.001,7
103.856240861716,0.51450596928962,0.001,7
102.618539681077,0.511510749924756,0.001,7
102.956798412435,0.51233299508052,0.001,7
103.021546047344,0.512490069214176,0.001,7
103.099269549357,0.512678488491739,0.001,7
103.000194948001,0.512438283826777,0.001,7
103.070613542203,0.512609036827599,0.001,7
101.944068584289,0.509862929698828,0.001,7
91.816987245171,0.483713225974757,0.001,8
91.721584341601,0.483453607347346,0.001,8
91.761069810254,0.483561090280571,0.001,8
92.069696280942,0.484399660137584,0.001,8
91.701245776209,0.483398226516598,0.001,8
91.662867599826,0.483293692433394,0.001,8
92.069333863701,0.48439867700975,0.001,8
91.434098205478,0.482669693954993,0.001,8
91.794653612649,0.483652473161823,0.001,8
92.334248104609,0.485116309986742,0.001,8
92.464839295749,0.48546933721542,0.001,8
92.025643003642,0.484280129507985,0.001,8
91.860891627786,0.483832614711804,0.001,8
92.771950105371,0.486297645194324,0.001,8
91.855953133913,0.483819188272296,0.001,8
91.645208057362,0.483245577339567,0.001,8
91.521532636304,0.482908360665993,0.001,8
91.632197343853,0.483210122686601,0.001,8
92.261452948595,0.484919312444871,0.001,8
91.981873640286,0.484161314328573,0.001,8
92.353055604697,0.485167182167461,0.001,8
92.157928795896,0.484638896623726,0.001,8
91.475560437708,0.48278289942191,0.001,8
92.417759649555,0.485342122602643,0.001,8
92.165456124416,0.484659296187404,0.001,8
91.955241761815,0.484088993327795,0.001,8
91.666885521411,0.483304638389621,0.001,8
91.744381497384,0.483515668676856,0.001,8
91.523619591202,0.482914054663035,0.001,8
91.610046634058,0.48314975002808,0.001,8
91.990650757596,0.484185144852018,0.001,8
91.946034382868,0.484063985234541,0.001,8
91.439088903579,0.482683322817922,0.001,8
91.72127593196,0.483452767652975,0.001,8
92.081099982304,0.484430592998865,0.001,8
91.980903377752,0.484158679858787,0.001,8
91.256737545741,0.482184881389945,0.001,8
91.535492158725,0.482946445102058,0.001,8
91.406719498123,0.482594913951977,0.001,8
92.324194062338,0.485089110804791,0.001,8
92.372739745843,0.485220414798699,0.001,8
91.991494407175,0.48418743530711,0.001,8
91.903486320088,0.48394838926328,0.001,8
91.769692874845,0.483584557073443,0.001,8
92.292230537363,0.485002620846582,0.001,8
91.449388090314,0.482711446113082,0.001,8
91.471327092211,0.482771343273984,0.001,8
92.418451553597,0.485343992662307,0.001,8
92.360946039028,0.485188521915056,0.001,8
91.581582563979,0.483072149337464,0.001,8
56.68113640206,0.366438582754718,0.001,9
56.275583953588,0.364773106096411,0.001,9
56.569152302809,0.36597957263806,0.001,9
56.244539950298,0.364645257254625,0.001,9
56.564589216988,0.365960854963866,0.001,9
56.574828392517,0.366002854286564,0.001,9
56.716026117661,0.366581455980057,0.001,9
56.409161476192,0.365322633300418,0.001,9
56.383122069193,0.365215583889555,0.001,9
56.464669808961,0.365550710585116,0.001,9
56.189486294186,0.364418402607421,0.001,9
56.275728062876,0.364773699463212,0.001,9
56.625599326626,0.366211025685416,0.001,9
56.034688902169,0.363779673926294,0.001,9
56.390216575747,0.365244753368687,0.001,9
56.396917605416,0.365272302582792,0.001,9
56.451037860677,0.365494713681359,0.001,9
56.179219058918,0.364376077410598,0.001,9
56.182370999943,0.364389071432581,0.001,9
56.707772363634,0.366547662714352,0.001,9
56.359923280867,0.365120181993852,0.001,9
56.355653347595,0.365102619342923,0.001,9
56.362763659095,0.36513186420768,0.001,9
56.683241325451,0.366447204233267,0.001,9
56.144055346056,0.364231077351714,0.001,9
56.403260429346,0.365298376941696,0.001,9
56.331995763615,0.365005295790362,0.001,9
56.10547480122,0.364071911615015,0.001,9
56.078157167921,0.36395916331479,0.001,9
56.487920312524,0.365646195497036,0.001,9
56.21634918315,0.364529114331366,0.001,9
56.407758643124,0.365316867097959,0.001,9
55.856970803051,0.363044784461229,0.001,9
56.291482549655,0.364838561529402,0.001,9
56.692730981139,0.366486069652823,0.001,9
56.646333128139,0.366295999279868,0.001,9
56.727368306094,0.366627888311725,0.001,9
56.113877343029,0.364106583459254,0.001,9
56.518498237161,0.365771728834786,0.001,9
56.479573837257,0.36561192159138,0.001,9
56.64252804938,0.366280406585782,0.001,9
56.217822359723,0.364535184711605,0.001,9
56.534011174223,0.365835396005387,0.001,9
56.048440609134,0.363836468499837,0.001,9
56.269558188974,0.364748294151759,0.001,9
56.297177539541,0.364862004848492,0.001,9
56.428534833517,0.365402254799284,0.001,9
56.376730164168,0.365189300901865,0.001,9
56.391309966853,0.365249248671834,0.001,9
56.550295621576,0.365902215807094,0.001,9
