"","tree","geno","year","c.obs","ses","pval.l","pval.u"
"1","N1.11","T6",2010,1.95238095238095,0,1,1
"2","N1.40","RL6",2010,0,0,1,1
"3","N1.5","T6",2010,1.5,0,1,1
"4","N1.7","T6",2010,0,-0.293405788153095,0.92,1
"5","N1.8","1017",2010,2,-4.15564808834196,0.04,1
"6","N2.15","1017",2010,0.7,-1.72336879396141,0.25,1
"7","N2.28","WC5",2010,0,-0.453226911644656,0.81,1
"8","N2.3","1017",2010,0,-0.349799300402099,0.89,1
"9","N2.31","WC5",2010,7.1,-1.08622604337962,0.02,1
"10","N2.44","RL6",2010,3.7,-0.867152920499884,0.13,1
"11","N3.13","1017",2010,3.73333333333333,0,1,1
"12","N4.12","WC5",2010,1.5,-1.1,0.45,1
"13","N4.16","H10",2010,0.866666666666667,0,1,1
"14","N5.12","1005",2010,13.9333333333333,-3.62668679966401,0.07,1
"15","N5.13","1005",2010,18.7619047619048,-1.40755690765975,0.01,1
"16","N5.5","1005",2010,1.86666666666667,-2.51889459225266,0.13,1
"17","N6.16","RL6",2010,2.93333333333333,0,1,1
"18","N6.4","H10",2010,4.8,0,1,1
"19","N6.6","1005",2010,0,0,1,1
"20","N7.7","H10",2010,0.833333333333333,0,1,1
"21","N7.8","WC5",2010,7.26666666666667,-1.38083825112144,0.18,1
"22","N1.10","996",2011,12.3333333333333,4.33704968844029,1,0.05
"23","N1.24","1017",2011,25.7333333333333,5.65773806392625,1,0.03
"24","N1.27","1023",2011,0,0,1,1
"25","N1.28","999",2011,0,0,1,1
"26","N1.31","1008",2011,0,0,1,1
"27","N1.34","996",2011,1,-3.33979405737143,0.08,1
"28","N1.36","11",2011,0,0,1,1
"29","N1.4","1017",2011,19.6666666666667,0,1,1
"30","N2.10","996",2011,0,0,1,1
"31","N2.11","1012",2011,12.5,0,1,1
"32","N2.12","1023",2011,0,0,1,1
"33","N2.14","1023",2011,18.3333333333333,-2.32961529477595,0.05,1
"34","N2.16","996",2011,12.3333333333333,-1.13166337490776,0.38,1
"35","N2.17","1012",2011,14,0,1,1
"36","N2.20","1012",2011,15.3333333333333,-1.76780765932509,0.06,1
"37","N2.25","1008",2011,2.5,-0.450301104081868,0.83,1
"38","N2.29","996",2011,0,0,1,1
"39","N2.33","11",2011,6.07142857142857,-2.65066077396681,0,1
"40","N2.35","11",2011,0,0,1,1
"41","N2.4","996",2011,2.86666666666667,-1.66809073703371,0.26,1
"42","N2.45","1012",2011,7.61904761904762,-0.76400114809908,0.38,1
"43","N3.17","1008",2011,0,-0.795582063442943,0.61,1
"44","N3.2","11",2011,7.8,-0.935402638207727,0.21,1
"45","N3.3","1007",2011,0,-1.77059312096258,0.24,1
"46","N3.31","1007",2011,0,0,1,1
"47","N3.6","996",2011,0,0,1,1
"48","N4.14","1008",2011,0,-0.466172793254531,0.82,1
"49","N4.18","1007",2011,0,0,1,1
"50","N4.20","1023",2011,3.19047619047619,-0.87230232296294,0.41,1
"51","N4.24","10",2011,0,0,1,1
"52","N4.26","999",2011,3.33333333333333,0,1,1
"53","N4.30","11",2011,0,-1.51091938097241,0.2,1
"54","N5.17","10",2011,10,-0.434248118673442,0.84,1
"55","N5.2","1008",2011,3.42857142857143,-1.45043097043603,0.32,1
"56","N5.26","999",2011,0,0,1,1
"57","N6.10","10",2011,0.5,0,1,1
"58","N6.17","996",2011,0,0,1,1
"59","N6.9","1008",2011,0,-0.684609677815691,0.46,1
"60","N7.10","10",2011,6.47619047619048,-2.29624620582258,0.04,1
"61","N7.3","1008",2011,1.5,0,1,1
"62","N1.17","1023",2011,0,0,1,1
