"","tree","geno","year","c.obs","ses","pval.l","pval.u"
"1","N1.11","T6",2010,0.666666666666667,0.249708488280441,1,0.9413
"2","N1.40","RL6",2010,0,-2.62644327283169,0.1266,1
"3","N1.5","T6",2010,0,0,1,1
"4","N1.7","T6",2010,0,-1.31960395812812,0.0046,1
"5","N1.8","1017",2010,0,-3.44795076568152,3e-04,1
"6","N2.15","1017",2010,1.16666666666667,-2.08694253766673,0.005,1
"7","N2.28","WC5",2010,0,-1.30366331606691,0.2821,1
"8","N2.3","1017",2010,0,-2.42430601357178,0.0011,1
"9","N2.31","WC5",2010,8,-2.41693706423253,8e-04,1
"10","N2.44","RL6",2010,3.16666666666667,-2.21848243331992,0.008,1
"11","N3.13","1017",2010,0.5,-1.75300016829684,0.0138,1
"12","N4.12","WC5",2010,0,-0.96163201802718,0.4302,1
"13","N4.16","H10",2010,0.9,-0.601450416597985,0.6984,0.8926
"14","N5.12","1005",2010,9.33333333333333,-2.20903102081182,0.0204,0.9857
"15","N5.13","1005",2010,7.1904761904762,-1.87846001074224,0.0256,0.9755
"16","N5.5","1005",2010,0,-2.22778188101234,0.0505,1
"17","N6.16","RL6",2010,1.46666666666667,-2.97878288321152,0.001,1
"18","N6.4","H10",2010,3.9,0.984954248632644,1,0.4632
"19","N6.6","1005",2010,0,-0.853730095579885,0.0161,1
"20","N7.7","H10",2010,1.66666666666667,-1.50979824266884,0.1269,0.9921
"21","N7.8","WC5",2010,6,-1.65891837185172,0.0427,0.9695
"22","N1.10","996",2011,0,0,1,1
"23","N1.24","1017",2011,25.6666666666667,0.834101033027644,0.8091,0.2043
"24","N1.27","1023",2011,0,0,1,1
"25","N1.28","999",2011,0,-1.14123861720297,0.4343,1
"26","N1.31","1008",2011,0,0,1,1
"27","N1.34","996",2011,2,-2.36843777280880,0.0152,0.9944
"28","N1.36","11",2011,0,0,1,1
"29","N1.4","1017",2011,42,1.91414038535725,0.9972,0.2055
"30","N2.10","996",2011,0,0,1,1
"31","N2.11","1012",2011,13,0.763416469738835,1,0.5763
"32","N2.12","1023",2011,0,-2.67375483817280,0.0201,1
"33","N2.14","1023",2011,46,-0.0949597701887417,0.6658,0.7263
"34","N2.16","996",2011,15.6,-1.5659383962327,0.0607,0.9453
"35","N2.17","1012",2011,0,0,1,1
"36","N2.20","1012",2011,17.3333333333333,-1.37081513512836,0.1235,0.9495
"37","N2.25","1008",2011,5,-2.54784841413580,0.0012,1
"38","N2.29","996",2011,0,0,1,1
"39","N2.33","11",2011,4.07142857142857,-2.97454121127603,6e-04,1
"40","N2.35","11",2011,0,0,1,1
"41","N2.4","996",2011,2.5,-3.02335543294965,0.0013,1
"42","N2.45","1012",2011,6.93333333333333,-2.56907733979787,2e-04,0.9998
"43","N3.17","1008",2011,0,-3.06085500399664,4e-04,1
"44","N3.2","11",2011,3,-5.12718466344907,0,1
"45","N3.3","1007",2011,0,0,1,1
"46","N3.31","1007",2011,0,0,1,1
"47","N3.6","996",2011,0,0,1,1
"48","N4.14","1008",2011,0,-1.10729488874992,0.0562,1
"49","N4.18","1007",2011,0,0,1,1
"50","N4.20","1023",2011,4.5,-0.870913832875932,0.332,0.91
"51","N4.24","10",2011,0,0,1,1
"52","N4.26","999",2011,6.66666666666667,0.688120697409394,1,0.6598
"53","N4.30","11",2011,0,0,1,1
"54","N5.17","10",2011,11.3333333333333,-0.809179439496668,0.13,0.876
"55","N5.2","1008",2011,2.6,-1.83332047661915,0.0376,0.979
"56","N5.26","999",2011,0,0,1,1
"57","N6.10","10",2011,0,0,1,1
"58","N6.17","996",2011,0,0,1,1
"59","N6.9","1008",2011,0,-2.23006218541211,0.0221,1
"60","N7.10","10",2011,6.38095238095238,-3.26621697650755,0.0014,1
"61","N7.3","1008",2011,2,-1.33240892911657,0.2942,0.977
