"tree","geno","year","c.obs","ses","pval.l","pval.u"
"N1.36_n80.90","11",2011,0,0,1,1
"N1.34_n80.90","996",2011,0,0,1,1
"N1.31_n80.90","1008",2011,0,0,1,1
"N1.28_n80.90","999",2011,0,0,1,1
"N1.27_n80.90","1023",2011,0,0,1,1
"N1.24_n80.90","1017",2011,2.9,0.884637753097553,1,0.5008
"N1.11_n80.90","T6",2011,1.46666666666667,-1.45989665768181,0.1314,0.9227
"N1.10_n80.90","996",2011,7,-0.971048518109727,0.3764,0.9602
"N1.8_n80.90","1017",2011,1.3,-2.36900078456500,5e-04,1
"N1.7_n80.90","T6",2011,0,0,1,1
"N1.5_n80.90","T6",2011,1.5,-2.72656927993711,0.0073,1
"N1.4_n80.90","1017",2011,8,-2.4582295179535,0.0079,0.9935
