"","tree","geno","year","c.obs","ses","pval.l","pval.u"
"1","N1.11","T6",2010,0.666666666666667,0,1,1
"2","N1.40","RL6",2010,0,-1.51152045527938,0.3044,1
"3","N1.5","T6",2010,0,0,1,1
"4","N1.7","T6",2010,0,-1.46049823585383,0.0378,1
"5","N1.8","1017",2010,0,-3.14310171461262,0.0068,1
"6","N2.15","1017",2010,1.16666666666667,-2.35876365080046,0.0078,1
"7","N2.28","WC5",2010,0,-1.36224780500571,0.2616,1
"8","N2.3","1017",2010,0,-2.2011180043595,0.0172,1
"9","N2.31","WC5",2010,8,-2.13631543744739,0.0034,1
"10","N2.44","RL6",2010,3.16666666666667,-1.94576195975571,4e-04,1
"11","N3.13","1017",2010,0.5,-1.58009903675802,0.0354,0.9978
"12","N4.12","WC5",2010,0,-1.33167121231945,0.2328,1
"13","N4.16","H10",2010,0.9,-0.503262372626877,0.7562,0.9068
"14","N5.12","1005",2010,9.33333333333333,-2.44158596921319,2e-04,0.9998
"15","N5.13","1005",2010,7.1904761904762,-1.26071483862884,0.117,0.8842
"16","N5.5","1005",2010,0,-1.79389956961228,0.0814,1
"17","N6.16","RL6",2010,1.46666666666667,-3.11735220275563,0.001,1
"18","N6.4","H10",2010,3.9,0.85796452927681,1,0.5048
"19","N6.6","1005",2010,0,-1.19074742250107,0.0082,1
"20","N7.7","H10",2010,1.66666666666667,-1.17986810304893,0.2152,0.9814
"21","N7.8","WC5",2010,6,-1.95024649468640,0.0024,1
"22","N1.10","996",2011,0,0,1,1
"23","N1.24","1017",2011,25.6666666666667,0.665973650373276,0.791,0.2792
"24","N1.27","1023",2011,0,0,1,1
"25","N1.28","999",2011,0,-1.31601443345848,0.366,1
"26","N1.31","1008",2011,0,0,1,1
"27","N1.34","996",2011,2,-1.92649627982722,0.033,1
"28","N1.36","11",2011,0,0,1,1
"29","N1.4","1017",2011,42,1.80006497856517,1,0.2358
"30","N2.10","996",2011,0,0,1,1
"31","N2.11","1012",2011,13,1.04983934840539,1,0.3434
"32","N2.12","1023",2011,0,-2.54732844029588,0.0116,1
"33","N2.14","1023",2011,46,0.0719212597162839,0.6792,0.667
"34","N2.16","996",2011,15.6,-1.54053578666597,0.0688,0.9316
"35","N2.17","1012",2011,0,0,1,1
"36","N2.20","1012",2011,17.3333333333333,-1.31487188030826,0.165,0.9596
"37","N2.25","1008",2011,5,-2.56441310654191,6e-04,1
"38","N2.29","996",2011,0,0,1,1
"39","N2.33","11",2011,4.07142857142857,-2.92281391715731,0,1
"40","N2.35","11",2011,0,0,1,1
"41","N2.4","996",2011,2.5,-2.62095420655994,0,1
"42","N2.45","1012",2011,6.93333333333333,-2.29827795680641,4e-04,0.9998
"43","N3.17","1008",2011,0,-3.26163549049086,0.0058,1
"44","N3.2","11",2011,3,-3.94881067445198,0.0016,1
"45","N3.3","1007",2011,0,0,1,1
"46","N3.31","1007",2011,0,0,1,1
"47","N3.6","996",2011,0,0,1,1
"48","N4.14","1008",2011,0,-0.90326362739834,0.1096,1
"49","N4.18","1007",2011,0,0,1,1
"50","N4.20","1023",2011,4.5,-0.968275921006295,0.2454,0.9082
"51","N4.24","10",2011,0,0,1,1
"52","N4.26","999",2011,6.66666666666667,0.561164679641546,1,0.7538
"53","N4.30","11",2011,0,0,1,1
"54","N5.17","10",2011,11.3333333333333,-1.04396490020934,0.0686,0.942
"55","N5.2","1008",2011,2.6,-1.85769933662128,0.0176,0.9966
"56","N5.26","999",2011,0,0,1,1
"57","N6.10","10",2011,0,0,1,1
"58","N6.17","996",2011,0,0,1,1
"59","N6.9","1008",2011,0,-2.47699738944696,0.025,1
"60","N7.10","10",2011,6.38095238095238,-4.31796908916688,0.001,1
"61","N7.3","1008",2011,2,-1.70298563489801,0.2562,1
