"","tree","geno","year","c.obs","ses","pval.l","pval.u"
"1","N1.11","T6",2010,1.95238095238095,-1.48224810237429,0.0812,0.9358
"2","N1.40","RL6",2010,0,-2.21724521227602,0.169,1
"3","N1.5","T6",2010,1.5,-1.8865364646716,0.0156,1
"4","N1.7","T6",2010,0,-1.30588222074747,0.0484,1
"5","N1.8","1017",2010,2,-3.80345433866516,0.0072,1
"6","N2.15","1017",2010,0.7,-2.46800889676559,0.0028,1
"7","N2.28","WC5",2010,0,-1.02540317320658,0.4216,1
"8","N2.3","1017",2010,0,-2.50499246030638,0.0432,1
"9","N2.31","WC5",2010,7.1,-3.59137756424394,0.0012,0.9988
"10","N2.44","RL6",2010,3.7,-1.80057790987622,0.05,0.9954
"11","N3.13","1017",2010,3.73333333333333,-1.94286894785272,0.0046,0.9982
"12","N4.12","WC5",2010,1.5,-1.667403047568,0.0652,1
"13","N4.16","H10",2010,0.866666666666667,-0.573296791579372,0.7412,0.794
"14","N5.12","1005",2010,13.9333333333333,-1.07634091851726,0.1608,0.883
"15","N5.13","1005",2010,18.7619047619048,-4.68652202720579,2e-04,0.9998
"16","N5.5","1005",2010,1.86666666666667,-2.58781044210642,0.0274,1
"17","N6.16","RL6",2010,2.93333333333333,-1.86242925686738,0.0188,1
"18","N6.4","H10",2010,4.8,1.41466346848362,1,0.2302
"19","N6.6","1005",2010,0,-2.17944507268097,0.0066,1
"20","N7.7","H10",2010,0.833333333333333,-1.27561281761491,0.2884,1
"21","N7.8","WC5",2010,7.26666666666667,-3.64654460598132,0.0084,1
"22","N1.10","996",2011,12.3333333333333,-0.602567930172416,0.4962,0.8662
"23","N1.24","1017",2011,25.7333333333333,0.426253371356217,0.7426,0.261
"24","N1.27","1023",2011,0,0,1,1
"25","N1.28","999",2011,0,-1.08380056397012,0.4598,1
"26","N1.31","1008",2011,0,0,1,1
"27","N1.34","996",2011,1,-2.80971395001373,0.0016,1
"28","N1.36","11",2011,0,0,1,1
"29","N1.4","1017",2011,19.6666666666667,-2.50543147929395,0.0036,1
"30","N2.10","996",2011,0,0,1,1
"31","N2.11","1012",2011,12.5,-1.25507835507728,0.2762,0.9898
"32","N2.12","1023",2011,0,-2.78637599037171,0.0504,1
"33","N2.14","1023",2011,18.3333333333333,-1.37998750976295,0.1272,0.977
"34","N2.16","996",2011,12.3333333333333,-4.10200481228685,0.0076,1
"35","N2.17","1012",2011,14,0.308324401898463,0.6856,0.6656
"36","N2.20","1012",2011,15.3333333333333,-2.13277479406750,4e-04,1
"37","N2.25","1008",2011,2.5,-3.56077504593515,0.0168,1
"38","N2.29","996",2011,0,0,1,1
"39","N2.33","11",2011,6.07142857142857,-2.82184645616189,4e-04,1
"40","N2.35","11",2011,0,0,1,1
"41","N2.4","996",2011,2.86666666666667,-3.61183335408966,0.0014,1
"42","N2.45","1012",2011,7.61904761904762,-1.89864397361590,0.0292,0.9786
"43","N3.17","1008",2011,0,-4.02644795228593,0.027,1
"44","N3.2","11",2011,7.8,-3.84047741989078,0.001,1
"45","N3.3","1007",2011,0,-2.86765535454879,0.1084,1
"46","N3.31","1007",2011,0,0,1,1
"47","N3.6","996",2011,0,0,1,1
"48","N4.14","1008",2011,0,-2.81539476347283,0.0318,1
"49","N4.18","1007",2011,0,0,1,1
"50","N4.20","1023",2011,3.19047619047619,-3.05023199473331,0.0038,1
"51","N4.24","10",2011,0,0,1,1
"52","N4.26","999",2011,3.33333333333333,0.517037693107847,1,0.7718
"53","N4.30","11",2011,0,-3.29356401006215,0.0086,1
"54","N5.17","10",2011,10,-1.31593644948354,0.032,0.9714
"55","N5.2","1008",2011,3.42857142857143,-2.93385058149625,0.0138,1
"56","N5.26","999",2011,0,0,1,1
"57","N6.10","10",2011,0.5,-1.95866564474820,0.0582,1
"58","N6.17","996",2011,0,0,1,1
"59","N6.9","1008",2011,0,-1.90422513563769,0.0066,1
"60","N7.10","10",2011,6.47619047619048,-4.26752220810715,4e-04,1
"61","N7.3","1008",2011,1.5,-1.16399603264495,0.4246,1
