"Tree","Geno","Row","Col","Xgal","Csub","Lsp","Chol","Xmon","Pmel","Pads","Pund","Rsp"
"N1.7","T6",5,5,0,0,0,0,0,0,0,0,0
"N1.7","T6",5,7,1,0,0,0,0,0,0,0,0
"N1.7","T6",5,9,1,0,0,0,0,0,0,0,0
"N1.7","T6",6,2,0,0,0,0,0,0,0,0,0
"N1.7","T6",6,4,1,0,0,0,0,0,0,0,0
"N1.7","T6",6,6,0,0,0,0,0,0,0,0,0
"N1.7","T6",6,8,1,0,0,0,0,0,0,0,0
"N1.7","T6",6,10,1,0,0,0,0,0,0,0,0
"N1.7","T6",7,1,0,0,0,0,0,0,0,0,0
"N1.7","T6",7,3,1,0,0,0,0,0,0,0,0
"N1.7","T6",7,5,0,0,0,0,0,0,0,0,0
"N1.7","T6",7,7,1,0,0,0,0,0,0,0,0
"N1.7","T6",7,9,1,0,0,0,0,0,0,0,0
"N1.7","T6",8,2,1,0,0,0,0,0,0,0,0
"N1.7","T6",8,4,0,0,0,0,0,0,0,0,0
"N1.7","T6",8,6,0,0,0,0,0,0,0,0,0
"N1.7","T6",8,8,0,0,0,0,0,0,0,0,0
"N1.7","T6",8,10,1,1,0,1,0,0,0,0,0
"N1.7","T6",9,1,1,0,0,0,0,0,0,0,0
"N1.7","T6",9,3,0,0,0,0,0,0,0,0,0
"N1.7","T6",9,5,1,0,0,0,0,0,0,0,0
"N1.7","T6",9,7,1,0,0,0,0,0,0,0,0
"N1.7","T6",9,9,1,0,0,0,0,0,0,0,0
"N1.7","T6",10,2,1,0,0,0,0,0,0,0,0
"N1.7","T6",10,4,0,0,0,0,0,0,0,0,0
"N1.7","T6",10,6,1,0,0,0,0,0,0,0,0
"N1.7","T6",10,8,1,0,0,0,0,0,0,0,0
"N1.7","T6",10,10,1,0,0,0,0,0,0,0,0
"N1.8",1017,1,1,1,0,0,0,0,0,0,0,0
"N1.8",1017,1,3,0,0,0,0,0,0,0,0,0
"N1.8",1017,1,5,0,0,0,0,0,0,0,0,0
"N1.8",1017,1,7,0,0,0,0,0,0,0,0,0
"N1.8",1017,1,9,0,0,0,0,0,0,0,0,0
"N1.8",1017,2,2,0,0,0,0,0,0,0,0,0
"N1.8",1017,2,4,0,0,0,0,0,0,0,0,0
"N1.8",1017,2,6,0,0,0,0,0,0,0,0,0
"N1.8",1017,2,8,0,0,0,0,0,0,0,0,0
"N1.8",1017,2,10,1,0,0,0,0,0,0,0,0
"N1.8",1017,3,1,0,0,0,0,0,0,0,0,0
"N1.8",1017,3,3,0,0,0,0,0,0,0,0,0
