Tree,Tree,Geno,Row,Col,Xgal,Csub,Lsp,Chol,Xmon,Pmel,Pads,Pund,Rsp
N1.11,N1.11,,9,5,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,9,7,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,9,9,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,2,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,4,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,6,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,8,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,10,1,0,0,0,0,0,0,1,0
N1.05,N1.05,,1,1,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,1,3,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,1,5,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,1,7,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,1,9,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,2,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,4,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,6,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,8,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,10,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,1,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,3,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,5,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,7,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,9,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,4,2,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,4,4,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,4,6,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,4,8,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,4,10,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,5,1,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,5,3,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,5,5,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,5,7,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,5,9,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,6,2,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,6,4,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,6,6,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,6,8,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,6,10,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,7,1,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,7,3,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,7,5,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,7,7,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,7,9,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,8,2,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,8,4,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,8,6,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,8,8,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,8,10,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,9,1,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,9,3,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,9,5,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,9,7,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,9,9,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,10,2,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,10,4,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,10,6,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,10,8,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,10,10,1,0,0,0,0,0,0,0,0
N1.40,N1.40,,1,1,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,1,3,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,1,5,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,1,7,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,1,9,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,2,2,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,2,4,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,2,6,1,0,0,0,0,0,0,0,0
N1.40,N1.40,,2,8,1,0,0,0,0,0,0,0,0
N1.40,N1.40,,2,10,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,3,1,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,3,3,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,3,5,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,3,7,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,3,9,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,4,2,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,4,4,1,0,0,0,0,1,0,0,0
N1.40,N1.40,,4,6,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,4,8,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,4,10,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,5,1,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,5,3,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,5,5,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,5,7,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,5,9,1,0,0,0,0,0,0,0,0
N1.40,N1.40,,6,2,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,6,4,1,0,0,0,0,0,0,0,0
N1.40,N1.40,,6,6,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,6,8,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,6,10,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,7,1,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,7,3,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,7,5,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,7,7,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,7,9,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,8,2,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,8,4,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,8,6,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,8,8,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,8,10,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,9,1,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,9,3,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,9,5,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,9,7,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,9,9,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,10,2,1,0,0,0,0,0,0,0,0
N1.40,N1.40,,10,4,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,10,6,1,0,0,0,0,0,0,0,0
N1.40,N1.40,,10,8,0,0,0,0,0,0,0,0,0
N1.40,N1.40,,10,10,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,1,1,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,1,3,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,1,5,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,1,7,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,1,9,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,2,2,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,2,4,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,2,6,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,2,8,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,2,10,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,3,1,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,3,3,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,3,5,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,3,7,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,3,9,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,4,2,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,4,4,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,4,6,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,4,8,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,4,10,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,5,1,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,5,3,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,5,5,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,5,7,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,5,9,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,6,2,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,6,4,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,6,6,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,6,8,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,6,10,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,7,1,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,7,3,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,7,5,0,0,0,0,0,0,0,0,0
