"Tree.ID","Rough.U","Tcov.U","X.gal.U","X.mon.U","C.holo.U","CanSub.U","Rino.Gl.U","Lec.sp.U","Pmel.U","P.adsc.U","P.und.U","Lec.Hag.U","Phae.orbi.U","Phase.cili.U","Mel.sub.U","Mel.ela.U","Uk.Mos.U","UK.Physcia.U","LittleBlackBalls.U","Tree.ID","Site","Genotype","AgeFinal.U","Bole.Circ.cm","DBH.cm_01","Height.m","Age.years.Origninal","Date.Recorded.Except.Age","Age.Core.Taken","Total.Foliose","Total.Crust"
"LL_19",11,0.0275,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LL_19","N.Uinta","Narrowleaf",13,13,10.2,4.4,13,"Dec, 2012","Dec 2,3,2012",0.0275,0
"LL_23",21.25,0.35,0.5375,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,"LL_23","N.Uinta","Narrowleaf",12,31.5,7,5.2,12,"Dec, 2012","Dec 2,3,2012",0.5375,0.025
"LL_24",77.5,43.75,25,20.5,0.0625,0.3125,0.125,0.125,0,0.25,0,0,2.375,0,0,0.0625,0,0.0625,0.0025,"LL_24","N.Uinta","Narrowleaf",36,30.5,16.6,6.5,34,"Dec, 2012","Dec 2,3,2012",48.1875,0.625
"LL_25",9,0.0025,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LL_25","N.Uinta","Narrowleaf",11,20,3.4,2.4,11,"Dec, 2012","Dec 2,3,2012",0.0025,0
"LL_26",66.25,19,7.375,7.875,0,0.75,0.125,0.125,0,0.025,0,0,0,0,0.0625,0,0,0,0,"LL_26","N.Uinta","Narrowleaf",30,48,15.1,3.3,30,"Dec, 2012","Dec 2,3,2012",15.3375,1
"LL_20",23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LL_20","N.Uinta","Narrowleaf",8,30,8.1,3.8,8,"Dec, 2012","Dec 2,3,2012",0,0
"LL_21",28.75,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,"LL_21","N.Uinta","Narrowleaf",9,41,7.4,4.3,7,"Dec, 2012","Dec 2,3,2012",0,0
"LL_22",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LL_22","N.Uinta","Narrowleaf",15,28,3.9,3,11,"Dec, 2012","Dec 2,3,2012",0,0
"ll.6",100,6,,,,,,,,,,,,,,,,,,,,,,17.5,70,,,,,,
"gnu.19",100,60,,,,,,,,,,,,,,,,,,,,,,110,31.3,,,,,,
"fremont.gnu.44",100,25,,,,,,,,,,,,,,,,,,,,,,226,60,,,,,,
