,Trunk,Trunk,Trunk,Crown spread (cm),,,,,,,,Average radius,Average radius,Area incl,Area excl,Proportion of surveyed
Tree ID,Circ (cm),Diam (cm),Radius (cm),N,NW,W,SW,S,SE,E,NE,with trunk (cm),without trunk (cm),trunk (cm?),trunk (cm?),crown area (%)
29SA ,120,38.2,19.1,200,220,220,200,220,190,230,180,226.6,207.5,161311.1,135265.2,5.54
30RA ,110,35.0,17.5,340,180,220,280,260,260,250,280,276.3,258.8,239759.9,210334.5,3.57
30SA ,100,31.8,15.9,200,180,140,220,210,200,180,110,195.9,180.0,120583.4,101787.6,7.37
31RD,140,44.6,22.3,430,340,300,380,400,390,450,470,417.3,395.0,547026.7,490167.0,1.53
31SD ,145,46.2,23.1,270,220,240,320,240,230,260,280,280.6,257.5,247317.8,208307.2,3.60
32RD ,150,47.7,23.9,280,210,140,230,290,200,120,130,223.9,200.0,157454.2,125663.7,5.97
32SD ,140,44.6,22.3,160,190,270,330,200,250,260,200,254.8,232.5,203932.4,169822.7,4.42
33RD ,160,50.9,25.5,270,220,350,280,420,350,340,320,344.2,318.8,372227.9,319190.7,2.35
33SD ,140,44.6,22.3,250,250,240,200,360,330,320,250,297.3,275.0,277642.7,237582.9,3.16
34RD ,120,38.2,19.1,160,190,170,330,400,290,190,180,257.8,238.8,208871.6,179075.7,4.19
34SD ,115,36.6,18.3,180,250,140,260,270,240,230,200,239.6,221.3,180282.0,153785.9,4.88
35RD ,130,41.4,20.7,240,250,260,280,210,240,240,240,265.7,245.0,221769.0,188574.1,3.98
35SD ,150,47.7,23.9,200,140,170,140,310,320,350,310,266.4,242.5,222910.8,184745.3,4.06
36RD ,125,39.8,19.9,240,210,290,330,290,340,230,210,287.4,267.5,259481.5,224800.6,3.34
36SD ,140,44.6,22.3,210,130,190,170,190,180,230,230,213.5,191.3,143243.4,114908.7,6.53
37RD ,130,41.4,20.7,220,140,220,200,180,250,230,200,225.7,205.0,160020.3,132025.4,5.68
37SD ,200,63.7,31.8,250,200,340,300,350,370,280,330,334.3,302.5,351158.5,287475.4,2.61
38RD ,70,22.3,11.1,170,160,120,130,180,170,150,200,171.1,160.0,92014.7,80424.8,9.33
38SD ,100,31.8,15.9,380,300,250,300,300,350,240,210,307.2,291.3,296411.3,266490.5,2.81
39RD ,130,41.4,20.7,190,200,180,230,270,190,240,230,236.9,216.3,176371.0,146913.6,5.11
39SD ,105,33.4,16.7,180,140,140,170,200,170,220,200,194.2,177.5,118494.6,98979.8,7.58
40RD ,110,35.0,17.5,200,200,230,260,170,150,160,150,207.5,190.0,135274.4,113411.5,6.61
40SD ,190,60.5,30.2,350,190,160,330,420,450,360,350,356.5,326.3,399248.4,334388.2,2.24
41RD ,90,28.6,14.3,210,170,150,130,210,210,190,170,194.3,180.0,118632.2,101787.6,7.37
41SD ,145,46.2,23.1,280,130,230,260,240,230,290,320,270.6,247.5,230002.8,192442.2,3.90
5SD ,115,36.6,18.3,310,410,300,370,450,370,380,340,384.6,366.3,464581.5,421410.3,1.78
