"Tree","geno","Quadrat location (cm abvove ground)","Total cover ","Roughness ","X. galericulata","Caloplaca holocarpa","Candelariella subdeflexa","Rhinodina glauca","Lecanora sp.","Phyciella melanchra","Physcia adscendens","Physcia undulata","X. montana","UK Moss #1","Unknown Physcioid","Unknown, totally"
"N1-40","RL6","North 45-55",0.10,50.00,0.10,,,,,,,,,,,
"N1-40","RL6","North 80-90",0.50,40.00,0.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-03",1017,"South 45-55",3.00,70.00,3.00,,,,,,,,,,,
"N2-03",1017,"South 80-90",0.25,35.00,0.25,,,,,,,,,,,
"N2-03",1017,"North 45-55",13.00,25.00,11.00,,3.00,,,,,,,,,
"N2-03",1017,"North 80-90",5.00,65.00,5.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-04",996,"South 45-55",,20.00,,,,,,,,,,,,
"N2-04",996,"South 80-90",0.50,25.00,0.50,,,,,,,,,,,
"N2-04",996,"North 45-55",20.00,25.00,17.00,0.10,2.00,,0.10,0.10,,,,,,
"N2-04",996,"North 80-90",4.00,10.00,4.00,,0.25,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-10",996,"South 45-55",0.25,15.00,0.25,,,,,,,,,,,
"N2-10",996,"South 80-90",,5.00,,,,,,,,,,,,
"N2-10",996,"North 45-55",0.10,15.00,0.10,,,,,,,,,,,
"N2-10",996,"North 80-90",,5.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-11",1012,"South 45-55",1.50,40.00,1.50,,,,,,,,,,,
"N2-11",1012,"South 80-90",,20.00,,,,,,,,,,,,
"N2-11",1012,"North 45-55",,25.00,,,,,,,,,,,,
"N2-11",1012,"North 80-90",3.00,20.00,3.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-12",1023,"South 45-55",4.00,50.00,3.00,0.20,0.10,,,,,,,,,
"N2-12",1023,"South 80-90",15.00,55.00,15.00,0.10,0.50,,,,,,,,,
"N2-12",1023,"North 45-55",1.50,50.00,1.50,0.10,,,,,,,,,,
"N2-12",1023,"North 80-90",1.00,50.00,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-14",1023,"South 45-55",1.00,30.00,1.00,,,,,,,,,,,
"N2-14",1023,"South 80-90",6.00,65.00,6.00,,,,,,,,,,,
"N2-14",1023,"North 45-55",2.00,55.00,2.00,,,,,,,,,,,
"N2-14",1023,"North 80-90",4.00,50.00,3.00,,1.00,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-15",1017,"South 45-55",40.00,85.00,35.00,,2.00,,0.20,0.25,,,,,0.25,
"N2-15",1017,"South 80-90",23.00,100.00,20.00,0.10,0.25,,,,,,,,,
"N2-15",1017,"North 45-55",30.00,30.00,25.00,0.25,2.00,,,0.25,,,,,0.25,
"N2-15",1017,"North 80-90",10.00,10.00,8.00,0.10,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-16",996,"South 45-55",1.00,75.00,1.00,,,,,,,,,,,
"N2-16",996,"South 80-90",0.25,35.00,0.25,,,,,,,,,,,
"N2-16",996,"North 45-55",40.00,25.00,30.00,0.50,1.50,,0.25,0.10,0.10,,0.50,0.25,,
"N2-16",996,"North 80-90",3.00,10.00,3.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-17",1012,"South 45-55",,65.00,,,,,,,,,,,,
"N2-17",1012,"South 80-90",,40.00,,,,,,,,,,,,
"N2-17",1012,"North 45-55",20.00,25.00,10.00,0.10,,,,,,,,,,
"N2-17",1012,"North 80-90",10.00,25.00,10.00,0.10,0.50,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-20",1012,"South 45-55",20.00,20.00,18.00,0.10,,,,,,,,,,
"N2-20",1012,"South 80-90",4.00,40.00,4.00,,,,,,,,,,,
"N2-20",1012,"North 45-55",20.00,20.00,20.00,,2.00,,0.10,0.60,,,,,,
"N2-20",1012,"North 80-90",15.00,20.00,10.00,,7.00,0.10,,0.10,,0.10,,,,
,,,,,,,,,,,,,,,,
"N2-25",1008,"South 45-55",,15.00,,,,,,,,,,,,
"N2-25",1008,"South 80-90",0.10,20.00,0.10,,,,,,,,,,,
"N2-25",1008,"North 45-55",3.00,20.00,4.00,,,,,0.10,,,,,,
"N2-25",1008,"North 80-90",0.25,5.00,0.25,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-27 ","T15","South 45-55",,15.00,,,,,,,,,,,,
"N2-27 ","T15","South 80-90",1.00,25.00,1.00,,,,,,,,,,,
"N2-27 ","T15","North 45-55",1.00,20.00,1.00,,,,,,,,,,,
"N2-27 ","T15","North 80-90",3.00,20.00,3.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-28","WC5","South 45-55",3.00,60.00,3.00,,,,,0.10,,,,,,
"N2-28","WC5","South 80-90",1.00,60.00,1.00,,,,,,,,,,,
"N2-28","WC5","North 45-55",10.00,75.00,7.00,,2.00,,,,,,,,,
"N2-28","WC5","North 80-90",4.00,65.00,4.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-29",996,"South 45-55",,15.00,,,,,,,,,,,,
"N2-29",996,"South 80-90",0.25,20.00,0.25,,,,,,,,,,,
"N2-29",996,"North 45-55",0.25,55.00,0.25,,,,,,,,,,,
"N2-29",996,"North 80-90",2.00,25.00,2.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-31","WC5","South 45-55",0.25,40.00,0.25,,,,,,,,,,,
"N2-31","WC5","South 80-90",,40.00,,,,,,,,,,,,
"N2-31","WC5","North 45-55",25.00,65.00,20.00,,10.00,,0.50,,0.25,,,,,
