"Tree","geno","Quadrat location (cm abvove ground)","Total cover ","Roughness ","X. galericulata","Caloplaca holocarpa","Candelariella subdeflexa","Rhinodina glauca","Lecanora sp.","Phyciella melanchra","Physcia adscendens","Physcia undulata","X. montana","UK Moss #1","Unknown Physcioid","Unknown, totally"
"N6-17",996,"South 45-55",0.10,25.00,0.10,,,,,,,,,,,
"N6-17",996,"South 80-90",,2.00,,,,,,,,,,,,
"N6-17",996,"North 45-55",0.25,25.00,0.25,,,,,,,,,,,
"N6-17",996,"North 80-90",,15.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-19","EC1","South 45-55",,15.00,,,,,,,,,,,,
"N6-19","EC1","South 80-90",,25.00,,,,,,,,,,,,
"N6-19","EC1","North 45-55",3.00,25.00,3.00,,,,,,,,,,,
"N6-19","EC1","North 80-90",0.10,10.00,0.10,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N7-03",1008,"South 45-55",5.00,40.00,5.00,,,,,,,,,,,
"N7-03",1008,"South 80-90",10.00,30.00,10.00,,,,,,,0.10,,,,
"N7-03",1008,"North 45-55",25.00,35.00,18.00,,0.10,,,0.10,,,,,,
"N7-03",1008,"North 80-90",35.00,65.00,35.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N7-07","H10","South 45-55",,80.00,,,,,,,,,,,,
"N7-07","H10","South 80-90",1.00,50.00,1.00,,,,,,,,,,,
"N7-07","H10","North 45-55",50.00,60.00,21.00,0.10,0.25,,,,,,,,,
"N7-07","H10","North 80-90",1.00,45.00,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N7-08","WC5","South 45-55",,20.00,,,,,,,,,,,,
"N7-08","WC5","South 80-90",,20.00,,,,,,,,,,,,
"N7-08","WC5","North 45-55",35.00,30.00,30.00,0.10,2.50,0.10,1.00,1.00,,,1.00,,,
"N7-08","WC5","North 80-90",25.00,20.00,18.00,0.10,0.10,,0.25,,,,,,,
,,,,,,,,,,,,,,,,
"N7-10",10,"South 45-55",6.00,30.00,6.00,,,,,,,,,,,
"N7-10",10,"South 80-90",3.00,30.00,3.00,,,,,,,,,,,
"N7-10",10,"North 45-55",20.00,25.00,20.00,0.10,0.50,0.10,0.10,,,,,,,
"N7-10",10,"North 80-90",2.00,15.00,2.00,0.10,0.10,,,,,,,,,
,,,,,,,,,,,,,,,,
"N7-14","HE10","South 45-55",20.00,25.00,20.00,0.25,,,,,,,,,,
"N7-14","HE10","South 80-90",3.50,40.00,3.50,,,,,,,,,,,
"N7-14","HE10","North 45-55",1.50,20.00,1.50,,,,,,,,,,,
"N7-14","HE10","North 80-90",25.00,20.00,20.00,,8.00,0.25,,1.00,0.10,,,,,
,,,,,,,,,,,,,,,,
"N7-19","RM2","South 45-55",5.00,30.00,5.00,,,,,,,0.10,,,,
"N7-19","RM2","South 80-90",2.00,40.00,2.00,,,,,,,,,,,
"N7-19","RM2","North 45-55",2.00,65.00,2.00,,,,,,,,,,,
"N7-19","RM2","North 80-90",1.00,30.00,1.00,,,,,,,,,,,
