"leaf.type","tree","geno","shoot","leaf","leaves","pb.upper","pb.lower","pb.hole","pb.woody","pb.woody.pred","pb.abort","pb.pred","chew.edge","chew.holes","scrape","fish.eye","tip.miner","edge.miner","mid.miner","fungal","chomp","pinch","thrips","edge.fold","tier","mite"
"live","np12.04",1017,2,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,2,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,2,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,3,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,3,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,3,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,3,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,3,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,4,1,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,4,2,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,4,3,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,4,4,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,4,5,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,5,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,5,2,50,,,,,,,,,,1,,,,,,,,,,,
"live","np12.04",1017,5,3,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,5,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,5,5,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,6,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,6,2,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,6,3,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,6,4,50,,,,,,,,,,1,,,,,,,,,,,
"live","np12.04",1017,6,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,7,1,50,,,,,,,,1,,,,,,,,,,,,,
"live","np12.04",1017,7,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,7,3,50,,,,,,,,,,,,,,,1,1,,,,,
"live","np12.04",1017,7,4,50,,,,,,,,1,,,,,,,,,,,,,
"live","np12.04",1017,7,5,50,,,,,,,,,,,,,,,,1,,,,,
"live","np12.04",1017,8,1,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,8,2,50,,,,,,,,,,,,,,,,,,1,,,
"live","np12.04",1017,8,3,50,,,,,,,,,,1,,,,,1,,,,,,
"live","np12.04",1017,8,4,50,,,,,,,,,,1,,,,,,,,,,,
"live","np12.04",1017,8,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,9,1,50,,,,,,,,1,,,,,,,1,,,,,1,
"live","np12.04",1017,9,2,50,,,,,,,,1,,,,,,,,,,,,,
"live","np12.04",1017,9,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,9,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,9,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,10,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np12.04",1017,10,2,50,,,,,,,,,,1,,,,,,,,,,,
"live","np12.04",1017,10,3,50,,,,,,,,1,,,,,,,1,,,,,,
"live","np12.04",1017,10,4,50,,,,,,,,,,,,,,,1,,,,,,
"live","np12.04",1017,10,5,50,1,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,1,1,50,,,,,,,,1,,,,,,,1,,,,,,
"live","np7.07",1000,1,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.07",1000,1,3,50,,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,1,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.07",1000,1,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.07",1000,2,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.07",1000,2,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.07",1000,2,3,50,,,,,,,,,,1,,,,,,,,,,,
"live","np7.07",1000,2,4,50,,,,,,,,,,1,,,,,,,,,,,
"live","np7.07",1000,2,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.07",1000,3,1,50,,,,,,,,1,,,,,,,1,,,,,,
"live","np7.07",1000,3,2,50,,,,,,,,,,1,,,,,1,,,,,,
"live","np7.07",1000,3,3,50,,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,3,4,50,,,,,,,,1,,,,,,,1,,,,,,
"live","np7.07",1000,3,5,50,,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,4,1,50,,,,,,,,1,,,,,,,1,,,,,,
"live","np7.07",1000,4,2,50,,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,4,3,50,,,,,,,,,,,,,,,,1,,,,,
"live","np7.07",1000,4,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.07",1000,4,5,50,,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,5,1,50,,,,,,,,,,,,,,,1,,,1,,,
"live","np7.07",1000,5,2,50,,,,,,,,,,1,,,,,1,,,,,,
"live","np7.07",1000,5,3,50,,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,5,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.07",1000,5,5,50,,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,6,1,50,,,,,,,,1,,,,,,,,,,,,,
"live","np7.07",1000,6,2,50,,,,,,,,,,,,,,,1,,,1,,,
"live","np7.07",1000,6,3,50,,,,,,,,,,,,,,,1,,,,,,
"live","np7.07",1000,6,4,50,,,,,,,,,,1,,,,,,,,,,,
"live","np7.07",1000,6,5,50,,,,,,,,,,1,,,,,,,,,,,
