"","temp","z","P"
"r00",33.6874677148451,-2.19661246403312,0.01
"r0",65.9952412197702,-3.42986403540625,0.01
"c0",22.4706306732727,0.201308207409649,0.95
"r1",20.9429895556533,-0.947637812525298,0.35
