"","temp","z","P"
"r00",44.6398841272376,-2.30264957447675,0.03
"r0",41.126967917385,-2.8965375609248,0.01
"c0",26.3979885326458,-0.549469610888881,0.57
"r1",22.9878748708691,-1.23721192802192,0.15
