"","statistic","means","z","pval","method"
"1",19.3411035920145,51.502657955527,-5.21076500244336,0.000999000999000999,r00
"2",19.5977693439023,43.2782564449749,-5.49219165248162,0.000999000999000999,r0
"3",19.2856669293131,29.8862153777156,-2.54571892143637,0.012987012987013,c0
"4",19.5930912092481,21.3749213602752,-0.550401555384845,0.61038961038961,r1
