"X1","X2"
0.0358240019234458,0.147467741311945
0.411338082992308,0.393646213641824
-0.0994063022403753,0.203445425767662
0.391732190293669,-0.154812806782027
0.229748895542419,-0.044933021102424
0.190903661320122,-0.00518069384756757
-0.0682785145400436,-0.278332356999818
-0.120096624650875,-0.0709105525040273
0.259184780325849,-0.152771594444656
-0.354131536500497,0.469399049254916
-0.0682785145400436,-0.278332356999818
-0.286337061856456,0.504303186994791
-0.0477884966779025,0.51751307216222
-0.0569003834603116,0.0304326183384503
-0.147653820375028,0.65155044263236
0.303338905997077,-0.128192529776114
-0.581162923920833,0.357348192503297
-0.257644193452535,0.166288367204752
-0.125388505820121,0.531607696016513
0.105739113267815,0.185405114069514
0.442686669992279,0.255336480053671
0.0764795440737862,-0.149063904330379
-0.202974938086692,0.0868305165176673
0.225386606023321,-0.186861118486925
-0.0682785145400436,-0.278332356999818
-0.0682785145400436,-0.278332356999818
0.232330624177576,0.393546120525051
-0.0598097961517087,-0.263415545234271
-0.0682785145400436,-0.278332356999818
-0.0682785145400436,-0.278332356999818
-0.0682785145400436,-0.278332356999818
-4.86820389881882e-05,0.305899470514102
-0.0700470619090461,0.0729149393832116
-0.0682785145400436,-0.278332356999818
-0.174131732764123,0.177909252715393
-0.0316397067875637,-0.276914843098744
0.0224219436629765,0.0288220462161887
-0.094785649527929,-0.228279261201951
0.163695618310879,0.128402662612782
-0.0758059876859206,-0.279225717384620
-0.213752219820242,-0.0377119375806648
-0.134110947902311,-0.224028310001722
-0.0735166862145672,-0.271366864971320
-0.0682785145400436,-0.278332356999818
-0.0924203683270109,-0.104853121856136
0.0995960125100513,-0.269032038895789
0.190463399791705,0.407462935801428
-0.0682785145400436,-0.278332356999818
0.253254673685057,-0.209007759300521
0.0556128113523294,-0.120271768074166
-0.0554803845133603,-0.218143349397447
0.0575237967661634,-0.215614275898204
0.312003475850059,0.432209035629654
-0.0558092924744201,-0.236499851372515
0.121227944515974,0.468087374833542
-0.0755753727239773,-0.255741952855576
-0.0419548487285517,0.42080200916483
-0.0682785145400436,-0.278332356999818
0.0732998187456369,0.0903932268987027
0.0256446134313299,-0.262534445368701
