"tree","geno","notes","DoMe!"
"N1-27","1023",,"X"
"N1-31","1008",,"X"
"N2-20","1012",,"X"
"N3-02","11",,"X"
"N3-06","996",,
"N3-17","1008",,"X"
"N3-22","1008",,
"N3-27","996",,
"N3-32","996",,
"N4-14","1008",,"X"
"N4-20","1023",,"X"
"N4-24",10,,"X"
"N4-30","11",,"X"
"N5-02","1008",,"X"
"N5-17",10,,"X"
"N6-09","1008",,"X"
"N6-10",10,,"X"
"N6-17",10,,"X"
"N7-03","1008",,
"N7-10",10,,"X"
