"leaf.type","tree","geno","shoot","leaf","pb.upper","pb.lower","pb.hole","pb.woody","pb.woody.pred","pb.abort","pb.pred","chew.edge","chew.holes","scrape","fish.eye","tip.miner","edge.miner","mid.miner","fungal","chomp","pinch","thrips","edge.fold","tier","mite"
"live","np2.4",1023,1,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.4",1023,1,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,1,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,1,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,1,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,2,1,,,,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,2,2,,,,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,2,3,,,,,,,,,,1,,,,,1,1,,,,,
"live","np2.4",1023,2,4,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.4",1023,2,5,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,3,1,,,,,,,,,,1,,,,,,1,,,,,
"live","np2.4",1023,3,2,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,3,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,3,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,3,5,,,1,,,,,,,,,,,,1,,,,,,
"live","np2.4",1023,4,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,4,2,,,,,,,,1,1,,,,,,,,,,,,
"live","np2.4",1023,4,3,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,4,4,1,,,,,,,,,,,,,,,1,,,,,
"live","np2.4",1023,4,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,5,1,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.4",1023,5,2,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,5,3,,,,,,,1,,,,,,,,1,1,,,,,
"live","np2.4",1023,5,4,,,,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,5,5,,,,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,6,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,6,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.4",1023,6,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,6,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,6,5,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,7,1,,,,,,,,1,,,,,,,,,,,,,
