ALL LOCI	10	1000	1005	1007	1008	1012	1014	1017	1018	1019	1020	1023	11	13	18	1991	1992	2001	2017	2028	3200	996	998	999	COAL1	COAL3	EC1	EC2	EC3	EC4	H10	HE1	HE10	HE2	HE4	HE8	KSU6	NUL	NUN	P2	PEOA2	RL1	RL2	RL6	RM2	RM4	RM5	RM7	T15	T2	T21	T48	T6	WC1	WC3	WC4	WC5	WH-2	WH-3	XSU1
10		0.5978	-0.3694	0.3046	0.4295	0.1290	-0.0763	0.4140	-0.0978	0.0412	0.6415	-0.0770	0.0985	0.1626	-2.6922	0.2614	-0.1723	0.1733	0.0987	-0.3219	0.6542	0.0834	0.5742	-0.4804	-0.1706	0.5341	0.0807	0.0794	-0.1223	0.0794	0.0957	0.3098	-0.0706	-0.1428	-0.3112	0.2634	-0.0993	-1.0806	-0.7106	-0.1878	0.5367	0.2245	-0.1918	0.4287	0.3201	-0.1078	0.0265	0.2537	0.0025	-0.1533	0.4089	0.0350	0.1633	-0.3433	-0.3646	0.6749	0.6610	-1.0772	-1.7810	0.5187
1000	0.5978		0.3338	1.0000	0.6036	0.7779	-0.0606	0.5948	0.2165	0.7393	0.8216	0.5505	0.1441	0.2180	-2.3786	0.5507	0.3975	-0.0256	0.7582	-0.4373	0.8320	0.1982	1.0000	0.2603	0.4638	0.5794	0.7436	0.7779	0.6169	0.7779	-0.6237	0.3625	0.5558	0.6115	0.3888	0.3402	0.6273	-0.4786	0.1097	0.1159	0.5793	0.7686	-0.0079	0.0526	0.7672	0.5558	0.5558	0.3761	0.8390	0.2601	1.0000	0.7233	0.7754	-0.0858	-0.1540	0.8319	0.8368	-1.3568	-2.2862	0.7801
1005	-0.3694	0.3338		0.6632	0.6033	0.4936	0.3124	0.5884	0.1225	0.8103	0.4754	0.8005	-0.5179	-0.1011	-2.0324	-0.3918	-0.1799	-0.5805	0.2187	-0.8746	-0.1537	0.3344	0.1601	0.5152	-0.1481	0.5637	0.4819	-0.0436	0.3152	-0.0436	-0.4940	0.0195	-0.0041	0.3005	0.0718	0.3800	0.3004	-0.7711	0.0665	-0.2038	0.5711	-0.4175	-0.2098	0.0831	0.2530	0.8027	-0.3007	0.0044	0.3152	0.0467	0.1540	-0.0088	0.2859	0.6480	-0.4463	0.1273	-0.1218	-1.5852	-2.3984	0.5293
1007	0.3046	1.0000	0.6632		0.8678	0.7632	0.3697	0.6866	0.3999	1.0000	0.8251	0.8300	0.1902	0.3926	-1.6008	0.4803	0.3638	-0.1814	0.8205	-0.3079	0.2969	0.1512	0.8245	0.4536	-0.0267	0.6712	0.6508	0.2820	0.5009	0.2820	-0.2661	0.3014	0.4947	0.4954	0.3264	0.4646	0.7077	-0.3344	0.3461	-0.0645	0.6713	0.1796	-0.2839	0.2526	0.8255	0.8316	-0.0032	0.5203	0.6480	-0.0671	0.8316	0.6039	0.6602	-0.1900	-0.2424	0.6568	0.3143	-0.9110	-2.0297	0.8328
1008	0.4295	0.6036	0.6033	0.8678		0.4048	0.5986	0.7306	0.2477	0.8550	1.0000	0.8300	-0.0526	0.4918	-1.6429	0.2314	-0.0348	0.0336	0.5443	-0.0455	0.3891	0.2746	0.6247	0.2217	-0.3158	0.7186	0.5920	0.0783	0.0135	0.0783	-0.0514	0.1204	0.1963	-0.0011	-0.1349	0.7331	0.2490	-0.6382	-0.0611	-0.3061	0.7195	0.0342	-0.3116	0.5859	0.5586	0.7355	-0.1254	0.6003	0.1074	-0.1600	0.5293	0.2743	0.3585	-0.3399	0.0734	0.7056	0.4019	-0.6464	-1.5922	0.8431
1012	0.1290	0.7779	0.4936	0.7632	0.4048		0.0899	0.8206	0.2353	0.7468	0.6503	0.1836	-0.3284	-0.0046	-2.6494	0.2310	-0.0763	-0.1345	0.4651	-0.3391	0.6703	0.0230	0.7716	0.4289	0.1608	0.3452	1.0000	1.0000	0.8419	1.0000	-0.8901	0.5610	0.2001	0.4200	0.5829	0.0769	0.4507	-0.8087	-0.2492	-0.1687	0.8106	0.5035	-0.2584	-0.2755	0.4939	0.1954	0.7468	0.1414	0.8419	0.0573	0.7834	0.3781	1.0000	0.0635	-0.5069	0.6700	0.6795	-2.0129	-2.4341	0.5708
1014	-0.0763	-0.0606	0.3124	0.3697	0.5986	0.0899		0.5860	0.0418	0.5070	0.4720	0.2291	-0.9070	0.3683	-1.4848	-0.4242	-0.1809	0.1303	0.3406	0.0378	0.0276	-0.0859	0.0170	-0.0653	-0.7615	0.2808	0.2218	-0.1741	-0.1715	-0.1741	-0.3219	-0.0926	-0.1766	-0.4896	-0.3333	0.1627	-0.1332	-0.5385	-0.4060	-0.7090	0.5717	-0.4052	-0.6554	-0.0317	0.0488	0.1589	-0.3188	0.4538	-0.1715	-0.5698	-0.0723	-0.0907	0.0520	-0.5106	-0.3283	0.2344	0.0421	-0.9258	-1.3697	0.6837
1017	0.4140	0.5948	0.5884	0.6866	0.7306	0.8206	0.5860		0.3769	0.7256	0.8251	0.4441	-0.0857	0.4793	-1.2721	0.2107	-0.0596	0.3029	0.5333	0.2776	0.3786	0.2597	0.6158	0.6166	-0.5403	0.7133	0.7008	0.3920	0.2834	0.3920	-0.0791	0.4107	0.1764	-0.0210	0.1354	0.3899	0.2341	-0.6810	-0.4650	-0.6014	1.0000	0.0133	-0.3430	0.2126	0.5481	0.3911	0.1417	0.5903	0.2834	-0.1848	0.5193	0.2550	0.7237	0.0635	-0.2179	0.7004	0.3919	-0.7062	-1.3568	0.8431
1018	-0.0978	0.2165	0.1225	0.3999	0.2477	0.2353	0.0418	0.3769		0.3033	0.1292	0.1145	-0.4311	0.0740	-0.8419	-0.0755	0.0638	-0.2452	0.2666	-0.4050	-0.0444	-0.1198	0.2134	0.0923	-0.3728	0.1925	0.1022	-0.0121	0.2252	-0.0121	-0.3204	0.0576	-0.2016	0.0494	0.1033	-0.2033	0.2982	-0.4644	-0.3160	-0.4270	0.3528	-0.1631	-0.3959	0.0027	0.2935	0.1225	-0.1477	0.1310	0.2252	-0.3146	0.2045	-0.1440	0.1968	-0.2585	-0.5419	0.1433	-0.0236	-0.9380	-1.2103	0.2204
1019	0.0412	0.7393	0.8103	1.0000	0.8550	0.7468	0.5070	0.7256	0.3033		0.8021	0.8083	-0.2970	0.2042	-2.0324	0.1438	0.1592	-0.2522	0.5944	-0.4429	0.1168	-0.0420	0.5707	0.3535	-0.1662	0.4804	0.8024	0.2278	0.5052	0.2278	-0.4711	0.2696	0.0944	0.2688	0.3047	0.3919	0.5539	-0.6458	0.2342	-0.1886	0.7141	-0.0574	-0.5167	0.1453	0.6114	0.8103	-0.0334	0.3232	0.5052	-0.3030	0.5711	0.2050	0.5663	-0.1884	-0.3900	0.4480	0.1401	-1.4438	-2.2950	0.6496
1020	0.6415	0.8216	0.4754	0.8251	1.0000	0.6503	0.4720	0.8251	0.1292	0.8021		0.7525	0.1527	0.6581	-1.6460	0.4648	-0.2196	0.1225	0.6351	0.0878	1.0000	0.3996	1.0000	0.1772	-0.0639	0.8202	0.6369	0.6503	0.1307	0.6503	-0.2651	0.2682	0.4754	0.1181	-0.0580	0.8230	0.1544	-0.7416	-0.1462	-0.0790	0.8174	0.6422	-0.0481	0.6331	0.6371	0.6503	0.4754	0.6503	0.2594	0.1606	0.8251	0.5859	0.6503	-0.1900	0.4632	1.0000	1.0000	-0.7410	-1.5977	1.0000
1023	-0.0770	0.5505	0.8005	0.8300	0.8300	0.1836	0.2291	0.4441	0.1145	0.8083	0.7525		-0.1142	0.1317	-1.8094	-0.0801	0.0445	-0.6411	0.4258	-0.9478	0.0264	0.5320	0.3932	0.3352	0.0849	0.8076	0.2999	-0.1937	0.1166	-0.1937	-0.2676	-0.1309	0.3222	0.5457	-0.1107	0.7977	0.4694	-0.4431	0.5382	0.0273	0.4119	-0.1903	-0.0220	0.5740	0.4498	1.0000	-0.4220	0.2511	0.2855	0.2244	0.3834	0.3193	0.1064	0.2940	-0.1428	0.3596	0.0541	-0.9713	-2.1342	0.7870
11	0.0985	0.1441	-0.5179	0.1902	-0.0526	-0.3284	-0.9070	-0.0857	-0.4311	-0.2970	0.1527	-0.1142		-0.4660	-3.6025	-0.4959	-0.5838	-1.1620	-0.1903	-1.7017	0.3605	0.0877	-0.0302	-0.6246	0.5862	0.2591	-0.1194	-0.2912	-0.0105	-0.2912	-0.0440	0.1021	-0.1453	0.3575	-0.3316	0.1106	0.0398	-0.7710	-0.4849	0.1917	-0.1519	0.3535	0.1018	0.0210	0.0970	-0.1007	-0.3138	-0.3637	0.2804	0.1194	0.2208	-0.1453	-0.2530	-0.6112	-0.5542	0.2445	0.3745	-2.0099	-3.0679	0.2156
13	0.1626	0.2180	-0.1011	0.3926	0.4918	-0.0046	0.3683	0.4793	0.0740	0.2042	0.6581	0.1317	-0.4660		-1.4591	0.2354	0.0311	0.2279	0.4267	-0.1147	0.3035	0.0923	0.2723	-0.1291	-0.3683	0.4542	-0.1451	-0.2203	-0.2194	-0.2203	-0.1433	-0.1402	-0.2200	-0.2414	-0.0857	0.0956	0.0540	-0.5323	-0.3839	-0.5778	0.4585	-0.1806	-0.4353	-0.0876	0.5636	0.0921	-0.3478	0.6194	-0.1364	-0.3374	0.1882	-0.1539	-0.0224	-0.3682	-0.3475	0.4211	0.2034	-0.2996	-1.2137	0.6862
18	-2.6922	-2.3786	-2.0324	-1.6008	-1.6429	-2.6494	-1.4848	-1.2721	-0.8419	-2.0324	-1.6460	-1.8094	-3.6025	-1.4591		-3.0717	-1.2097	-3.0329	-0.6272	-1.2948	-1.0427	-1.4195	-1.6354	-1.4897	-0.5911	-0.9914	-3.5839	-1.8732	-1.1125	-1.8732	-1.6953	-1.9217	-2.3280	-1.0612	-1.4969	-2.3654	-0.5152	-1.2164	-1.6209	-1.1843	-0.8664	-1.0401	-0.7472	-2.0181	-1.9287	-1.8795	-1.4463	-1.5375	-1.1125	-1.7158	-2.3206	-2.3280	-2.3787	-0.8073	-1.0719	-1.3192	-1.3958	-0.3561	-0.1987	-1.1842
1991	0.2614	0.5507	-0.3918	0.4803	0.2314	0.2310	-0.4242	0.2107	-0.0755	0.1438	0.4648	-0.0801	-0.4959	0.2354	-3.0717		0.3961	0.2228	0.3958	-0.6403	0.5404	-0.1835	0.5817	-0.2298	0.2889	0.1881	0.1499	0.1509	0.3028	0.1509	-0.8070	0.0032	-0.0314	0.2873	0.4479	-0.0661	0.2904	-0.9559	-0.0626	-0.2044	0.1933	0.3343	-0.5447	-0.3843	0.6513	-0.0677	0.0679	0.3571	0.5307	-0.1427	0.5730	0.1355	0.2743	-0.4951	-0.8060	0.5145	0.5468	-2.0539	-2.7990	0.3558
1992	-0.1723	0.3975	-0.1799	0.3638	-0.0348	-0.0763	-0.1809	-0.0596	0.0638	0.1592	-0.2196	0.0445	-0.5838	0.0311	-1.2097	0.3961		-0.3849	0.5139	-0.7602	-0.3032	-0.3898	0.4194	-0.2718	0.1570	0.0401	-0.2424	-0.2837	0.2934	-0.2837	-0.5537	-0.1910	0.0768	0.2787	0.4351	-0.6010	0.5212	-0.0512	0.3302	-0.2541	0.0459	-0.2163	-0.4629	-0.8455	0.5331	0.0343	-0.3965	0.3451	0.4066	-0.3710	0.1321	0.1675	-0.1024	-0.5551	-0.8916	-0.1768	-0.2767	-1.3292	-1.9628	0.0778
2001	0.1733	-0.0256	-0.5805	-0.1814	0.0336	-0.1345	0.1303	0.3029	-0.2452	-0.2522	0.1225	-0.6411	-1.1620	0.2279	-3.0329	0.2228	-0.3849		-0.2183	-0.2819	0.2942	-0.2453	0.1827	-0.3967	-0.4410	0.1028	-0.2427	-0.1043	-0.2373	-0.1043	-0.6078	-0.1773	-0.7945	-0.5810	-0.2678	-0.2785	-0.4436	-1.1461	-0.9719	-0.8280	0.4176	-0.1876	-0.7507	-0.5484	-0.1772	-0.6433	-0.0949	0.0048	-0.2373	-0.5106	-0.1673	-0.7072	-0.0885	-0.4168	-0.7126	0.2028	0.3086	-1.4150	-1.6911	0.2156
2017	0.0987	0.7582	0.2187	0.8205	0.5443	0.4651	0.3406	0.5333	0.2666	0.5944	0.6351	0.4258	-0.1903	0.4267	-0.6272	0.3958	0.5139	-0.2183		-0.1006	0.1806	0.0099	0.6043	0.1938	-0.2250	0.5157	0.2903	0.0434	0.3213	0.0434	-0.3812	0.0900	0.6444	0.3103	0.1313	0.0408	0.5753	0.1536	0.0661	-0.3951	0.5248	0.0312	-0.3973	-0.1737	0.6347	0.4316	-0.2034	0.6799	0.4752	-0.2340	0.5991	0.7888	0.3823	-0.3621	-0.5770	0.4947	0.1806	-1.1140	-2.0045	0.8335
2028	-0.3219	-0.4373	-0.8746	-0.3079	-0.0455	-0.3391	0.0378	0.2776	-0.4050	-0.4429	0.0878	-0.9478	-1.7017	-0.1147	-1.2948	-0.6403	-0.7602	-0.2819	-0.1006		0.3043	-0.3855	-0.3389	-0.6317	-0.9453	-0.1253	-0.4883	-0.2698	-0.3927	-0.2698	-0.8651	-0.3484	-0.6458	-0.8044	-0.6407	-0.4773	-0.2874	-1.1040	-1.2409	-1.0704	0.2656	-0.2941	-0.9732	-0.7656	-0.5272	-0.9115	0.1321	0.0766	-0.3927	-0.7210	-0.3274	-0.4902	-0.2603	-0.8461	-0.6120	0.1812	0.3043	-1.4135	-1.6149	0.3341
3200	0.6542	0.8320	-0.1537	0.2969	0.3891	0.6703	0.0276	0.3786	-0.0444	0.1168	1.0000	0.0264	0.3605	0.3035	-1.0427	0.5404	-0.3032	0.2942	0.1806	0.3043		0.2112	0.5053	-0.2246	0.3289	0.3611	0.6348	0.6597	0.2330	0.6597	-0.2544	0.3639	0.5463	0.2226	0.1082	0.6570	-0.0494	-0.5932	-0.0980	0.1859	0.3627	0.7710	-0.0893	0.5346	0.1861	0.0242	0.6597	0.2693	0.3186	0.2914	0.7732	0.6216	0.6597	-0.0858	0.0612	0.8855	1.0000	-0.5306	-0.8083	0.4010
996	0.0834	0.1982	0.3344	0.1512	0.2746	0.0230	-0.0859	0.2597	-0.1198	-0.0420	0.3996	0.5320	0.0877	0.0923	-1.4195	-0.1835	-0.3898	-0.2453	0.0099	-0.3855	0.2112		0.3248	0.3428	-0.0662	0.7424	-0.2267	0.0159	-0.2890	0.0159	0.0735	-0.2102	0.4791	0.2229	-0.4229	0.6266	-0.1384	-0.1884	-0.3414	-0.1643	0.2314	-0.1243	0.6766	0.4958	0.0430	0.4739	-0.2765	0.1558	-0.2183	0.7733	0.1008	0.4436	-0.1012	0.8425	0.4282	0.3232	0.2264	-0.4246	-0.5296	0.8431
998	0.5742	1.0000	0.1601	0.8245	0.6247	0.7716	0.0170	0.6158	0.2134	0.5707	1.0000	0.3932	-0.0302	0.2723	-1.6354	0.5817	0.4194	0.1827	0.6043	-0.3389	0.5053	0.3248		0.1209	0.0381	0.6011	0.5094	0.5972	0.5734	0.5972	-0.4927	0.2210	0.3533	0.5665	0.3659	0.3406	0.6293	-0.2271	0.0707	-0.1931	0.6020	0.2928	0.0713	0.0756	0.6149	0.3932	0.0790	0.4194	0.7579	0.1790	0.7916	0.4876	0.5686	-0.1034	0.0082	0.7834	0.5195	-0.8335	-1.9579	0.7783
999	-0.4804	0.2603	0.5152	0.4536	0.2217	0.4289	-0.0653	0.6166	0.0923	0.3535	0.1772	0.3352	-0.6246	-0.1291	-1.4897	-0.2298	-0.2718	-0.3967	0.1938	-0.6317	-0.2246	0.3428	0.1209		-0.5503	0.5837	0.0916	-0.1096	0.2325	-0.1096	-0.5186	-0.0330	-0.0904	0.2016	-0.0335	-0.1234	0.4901	-0.6583	-0.7216	-0.7249	0.6006	-0.4561	-0.2290	-0.4770	0.2062	0.3352	-0.1035	-0.0277	0.2325	0.0079	0.0865	-0.0961	0.2223	0.6277	-0.5860	0.0660	-0.1864	-1.2288	-2.0369	0.5351
