ALL LOCI	10	1000	1005	1007	1008	1012	1014	1017	1018	1019	1020	1023	11	13	18	1991	1992	2001	2017	2028	3200	996	998	999	COAL1	COAL3	EC1	EC2	EC3	EC4	H10	HE1	HE10	HE2	HE4	HE8	KSU6	NUL	NUN	P2	PEOA2	RL1	RL2	RL6	RM2	RM4	RM5	RM7	T15	T2	T21	T48	T6	WC1	WC3	WC4	WC5	WH-2	WH-3	XSU1
HE4	-0.3112	0.3888	0.0718	0.3264	-0.1349	0.5829	-0.3333	0.1354	0.1033	0.3047	-0.0580	-0.1107	-0.3316	-0.0857	-1.4969	0.4479	0.4351	-0.2678	0.1313	-0.6407	0.1082	-0.4229	0.3659	-0.0335	0.5315	-0.2171	0.5460	0.4686	0.8475	0.4686	-0.8158	0.3356	-0.0234	0.5273		-0.4170	0.4878	-0.3894	0.4025	0.1423	0.0969	0.2509	-0.4114	-0.6853	0.4977	-0.0658	0.3747	-0.0148	0.8475	-0.1139	0.4296	0.0802	0.5987	-0.1535	-0.8855	0.0392	0.1281	-1.5849	-1.8355	-0.2054
HE8	0.2634	0.3402	0.3800	0.4646	0.7331	0.0769	0.1627	0.3899	-0.2033	0.3919	0.8230	0.7977	0.1106	0.0956	-2.3654	-0.0661	-0.6010	-0.2785	0.0408	-0.4773	0.6570	0.6266	0.3406	-0.1234	0.1068	0.7061	0.3205	0.0158	-0.2003	0.0158	-0.2697	-0.1171	0.3307	0.1334	-0.4170		-0.1790	-0.9605	-0.0742	0.0221	0.3604	0.1685	-0.0068	0.7926	0.0799	0.6053	-0.0530	0.2012	-0.0638	0.3936	0.3869	0.3278	0.1144	0.2806	0.3475	0.6786	0.6637	-1.0823	-1.8054	0.6827
KSU6	-0.0993	0.6273	0.3004	0.7077	0.2490	0.4507	-0.1332	0.2341	0.2982	0.5539	0.1544	0.4694	0.0398	0.0540	-0.5152	0.2904	0.5212	-0.4436	0.5753	-0.2874	-0.0494	-0.1384	0.6293	0.4901	0.1633	0.2005	0.3391	0.1349	0.6113	0.1349	-0.3623	0.1785	0.2528	0.6064	0.4878	-0.1790		0.0106	0.3684	0.0266	0.2041	0.0934	-0.2228	-0.3767	0.5884	0.4484	0.2182	0.1218	0.7193	-0.0893	0.5576	0.3280	0.4015	-0.3071	-0.3431	0.1612	-0.0285	-0.4807	-1.3711	0.2389
NUL	-1.0806	-0.4786	-0.7711	-0.3344	-0.6382	-0.8087	-0.5385	-0.6810	-0.4644	-0.6458	-0.7416	-0.4431	-0.7710	-0.5323	-1.2164	-0.9559	-0.0512	-1.1461	0.1536	-1.1040	-0.5932	-0.1884	-0.2271	-0.6583	0.2626	-0.4610	-1.1769	-0.6244	-0.2118	-0.6244	-0.3575	-0.7993	-0.4044	0.0618	-0.3894	-0.9605	0.0106		-0.1670	-0.3185	-0.5923	-0.4300	0.0860	-1.0265	-0.4845	-0.4583	-0.8212	-0.5282	-0.0825	-0.0426	-0.5402	-0.4110	-0.8869	-0.2211	-0.6136	-0.5508	-0.5692	-0.8133	-1.2968	-0.2969
NUN	-0.7106	0.1097	0.0665	0.3461	-0.0611	-0.2492	-0.4060	-0.4650	-0.3160	0.2342	-0.1462	0.5382	-0.4849	-0.3839	-1.6209	-0.0626	0.3302	-0.9719	0.0661	-1.2409	-0.0980	-0.3414	0.0707	-0.7216	0.7159	-0.2199	0.0935	-0.2008	0.4025	-0.2008	-0.9563	-0.2771	0.1959	0.6473	0.4025	-0.0742	0.3684	-0.1670		0.5254	-0.5488	0.2622	-0.2593	-0.3829	0.1374	0.3461	-0.2044	-0.2366	0.6003	0.1089	0.1953	0.1959	-0.1756	-0.5907	-0.7064	-0.2542	-0.0677	-1.1154	-1.3633	-0.0712
P2	-0.1878	0.1159	-0.2038	-0.0645	-0.3061	-0.1687	-0.7090	-0.6014	-0.4270	-0.1886	-0.0790	0.0273	0.1917	-0.5778	-1.1843	-0.2044	-0.2541	-0.8280	-0.3951	-1.0704	0.1859	-0.1643	-0.1931	-0.7249	0.8645	-0.3837	0.0321	0.0195	0.2830	0.0195	-0.6474	0.0941	0.0523	0.5528	0.1423	0.0221	0.0266	-0.3185	0.5254		-0.6451	0.3217	0.2233	0.1848	-0.1927	0.0164	0.1524	-0.7108	0.3954	0.3705	0.1112	0.0483	-0.1191	0.0900	-0.3781	-0.1791	0.1859	-1.2608	-1.3121	-0.5093
PEOA2	0.5367	0.5793	0.5711	0.6713	0.7195	0.8106	0.5717	1.0000	0.3528	0.7141	0.8174	0.4119	-0.1519	0.4585	-0.8664	0.1933	0.0459	0.4176	0.5248	0.2656	0.3627	0.2314	0.6020	0.6006	-0.5403	0.7098	0.6871	0.3627	0.2518	0.3627	-0.1117	0.3837	0.1292	-0.0670	0.0969	0.3604	0.2041	-0.5923	-0.5488	-0.6451		-0.0027	-0.3623	0.1979	0.5270	0.3616	0.1039	0.5732	0.2518	-0.2327	0.4945	0.2080	0.7141	0.0635	-0.2369	0.6952	0.3691	-0.7401	-1.3969	0.8355
RL1	0.2245	0.7686	-0.4175	0.1796	0.0342	0.5035	-0.4052	0.0133	-0.1631	-0.0574	0.6422	-0.1903	0.3535	-0.1806	-1.0401	0.3343	-0.2163	-0.1876	0.0312	-0.2941	0.7710	-0.1243	0.2928	-0.4561	0.5555	-0.0199	0.3967	0.5138	0.4037	0.5138	-0.6110	0.3991	0.2869	0.3933	0.2509	0.1685	0.0934	-0.4300	0.2622	0.3217	-0.0027		-0.2054	-0.0035	0.0387	-0.1792	0.5582	-0.1199	0.5303	0.1933	0.6444	0.3860	0.4674	-0.2820	-0.3463	0.5408	0.7730	-0.7357	-1.0648	0.1587
RL2	-0.1918	-0.0079	-0.2098	-0.2839	-0.3116	-0.2584	-0.6554	-0.3430	-0.3959	-0.5167	-0.0481	-0.0220	0.1018	-0.4353	-0.7472	-0.5447	-0.4629	-0.7507	-0.3973	-0.9732	-0.0893	0.6766	0.0713	-0.2290	0.1135	0.1083	-0.7081	-0.0099	-0.2830	-0.0099	-0.2078	-0.2122	0.0226	0.2146	-0.4114	-0.0068	-0.2228	0.0860	-0.2593	0.2233	-0.3623	-0.2054		0.1684	-0.1983	-0.0130	-0.3946	-0.4306	-0.2117	0.7726	-0.2561	-0.0178	-0.4986	0.6611	0.3517	-0.1937	-0.0801	-0.6017	-0.5521	0.0307
RL6	0.4287	0.0526	0.0831	0.2526	0.5859	-0.2755	-0.0317	0.2126	0.0027	0.1453	0.6331	0.5740	0.0210	-0.0876	-2.0181	-0.3843	-0.8455	-0.5484	-0.1737	-0.7656	0.5346	0.4958	0.0756	-0.4770	-0.0836	0.5491	-0.0606	-0.2669	-0.4420	-0.2669	-0.2822	0.0186	-0.0293	-0.0898	-0.6853	0.7926	-0.3767	-1.0265	-0.3829	0.1848	0.1979	-0.0035	0.1684		0.0355	0.3653	-0.2915	0.0076	-0.2993	0.2252	0.1242	-0.0344	-0.2036	0.0556	-0.0208	0.5126	0.5388	-1.4039	-1.8982	0.5046
