"leaf.type","tree","geno","shoot","leaf","leaves","fungal","chew.edge","scrape","chomp","pb.upper","pb.pred","pb.lower","pb.hole","pb.woody","pb.woody.pred","pb.abort","chew.holes","thrips","tier","fish.eye","tip.miner","edge.miner","mid.miner","pinch","edge.fold","mite"
"live","np5.29",11,10,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np5.29",11,10,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np5.29",11,10,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,1,1,50,,,,,,,,,,,,,,,,,,1,,,
"live","np7.06",1017,1,2,50,,,,,,,,,,,,,1,,,,,,,,
"live","np7.06",1017,1,3,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,1,4,50,1,1,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,1,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,2,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,2,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,2,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,2,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,2,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,3,1,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,3,2,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,3,3,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,3,4,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,3,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,4,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,4,2,50,1,,,,,1,,,,,,,,,,,,,,,
"live","np7.06",1017,4,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,4,4,50,,1,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,4,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,5,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,5,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,5,3,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,5,4,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,5,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,6,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,6,2,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,6,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,6,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,6,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,7,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,7,2,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,7,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,7,4,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,7,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,8,1,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,8,2,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,8,3,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,8,4,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,8,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,9,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,9,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,9,3,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,9,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,9,5,50,,1,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,10,1,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,10,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,10,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,10,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.06",1017,10,5,50,,,,,,,,,,,,,1,,,,,,,,
"live","np6.09",1008,1,1,50,,,,1,,,,,,,,,,,,,,,,,
"live","np6.09",1008,1,2,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,1,3,50,,,1,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,1,4,50,,,,,,,,,1,,,,,,,,,,,,
"live","np6.09",1008,1,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,2,1,50,,,,,,,,,,,,,,,,,1,,,,
"live","np6.09",1008,2,2,50,,,1,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,2,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,2,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,2,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,3,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,3,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,3,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,3,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,3,5,50,1,1,,,,1,,,,,,,,,,,,,,,
"live","np6.09",1008,4,1,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,4,2,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,4,3,50,,,,,,,,,,,1,,,,,,,,,,
"live","np6.09",1008,4,4,50,,,,,1,,,,1,,,,,,,,,,,,
"live","np6.09",1008,4,5,50,1,,,,,,,,,,,,,,,,1,,,,
"live","np6.09",1008,5,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,5,2,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np6.09",1008,5,3,50,1,1,,,,1,,,,,,1,,,,,,,,,
"live","np6.09",1008,5,4,50,1,,,,,,,1,,,,,,,,,,,,,
"live","np6.09",1008,5,5,50,1,,,,,,,,,,,1,,,,,,,,,
"live","np6.09",1008,6,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,6,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,6,3,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,6,4,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,6,5,50,,,,,,1,,,,,,,,,,,,,,,
"live","np6.09",1008,7,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,7,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,7,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,7,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,7,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,8,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,8,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,8,3,50,,,,,,,,,1,,,,,,,,,,,,
"live","np6.09",1008,8,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,8,5,50,,,1,,,,,,,,,,,1,,,,,,,
"live","np6.09",1008,9,1,50,,,,,,,,,,,,1,,,,,,,,,
"live","np6.09",1008,9,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,9,3,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,9,4,50,,1,,,,,,,1,,,,,,,,,,,,
"live","np6.09",1008,9,5,50,1,,,,1,,,,,,,,,,,,,,,,
"live","np6.09",1008,10,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,10,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,10,3,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.09",1008,10,4,50,1,,,,,1,,,,,,,,,,,,,,,
"live","np6.09",1008,10,5,50,,1,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,1,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,1,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,1,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,1,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,1,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,2,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,2,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,2,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,2,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,2,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,3,1,50,,1,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,3,2,50,,,,1,,,,,,,,,,,,,,,,,
"live","np4.30",996,3,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,3,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,3,5,50,,1,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,4,1,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np4.30",996,4,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,4,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,4,4,50,,,1,,,,,,,,,,,,,,,,,,
"live","np4.30",996,4,5,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np4.30",996,5,1,50,,,,1,,,,,,,,,,,,,,,,,
"live","np4.30",996,5,2,50,,,,1,,,,,,,,,,,,,,,,,
"live","np4.30",996,5,3,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np4.30",996,5,4,50,1,1,1,,,,,,,,,,,,,,,,,,
"live","np4.30",996,5,5,50,1,1,,,,,,,,,1,,,,,,,,,,
"live","np4.30",996,6,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,6,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,6,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,6,4,50,,1,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,6,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,7,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,7,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,7,3,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np4.30",996,7,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,7,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,8,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,8,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,8,3,50,1,1,,,,,,,,,,,,,,,,1,,,
"live","np4.30",996,8,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,8,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,9,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,9,2,50,,1,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,9,3,50,1,1,,,,,,,,,,1,,,,,,,,,
"live","np4.30",996,9,4,50,,,,1,,,,,,,,,,,,,,,,,
"live","np4.30",996,9,5,50,,1,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,10,1,50,1,,,1,,,,,,,,,,,,,,,,,
"live","np4.30",996,10,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,10,3,50,,1,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,10,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np4.30",996,10,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,1,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,1,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,1,3,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,1,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,1,5,50,,,,,,,,,,,,1,,,,,,,,,
"live","np6.38",1023,2,1,50,1,,,,,,,,,,,,,,,,1,,,,
"live","np6.38",1023,2,2,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,2,3,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,2,4,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,2,5,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,3,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,3,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,3,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,3,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,3,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,4,1,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,4,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,4,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,4,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,4,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,5,1,50,1,,,1,,,,,,,,,,,,,,,,,
"live","np6.38",1023,5,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,5,3,50,,,,1,,,,,,,,,,,,,,,,,
"live","np6.38",1023,5,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,5,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,6,1,50,1,,,,,,,,,1,,,,,,,,,,,
"live","np6.38",1023,6,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,6,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,6,4,50,,,,1,,,,,,,,,,,,,,,,,
"live","np6.38",1023,6,5,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,7,1,50,,,,1,,,,,,,,,,,,,,,,,
"live","np6.38",1023,7,2,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,7,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,7,4,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,7,5,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,8,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,8,2,50,1,,,1,,,,,,,,,,,,,,,,,
"live","np6.38",1023,8,3,50,,1,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,8,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,8,5,50,1,,,1,,,,,,,,,,,,,,,,,
"live","np6.38",1023,9,1,50,,,1,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,9,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,9,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,9,4,50,1,,,,,,,,1,,,,,,,,,,,,
"live","np6.38",1023,9,5,50,,,1,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,10,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,10,2,50,,,1,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,10,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.38",1023,10,4,50,1,,,,1,,,,,,,,,,,,,,,,
"live","np6.38",1023,10,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,1,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,1,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,1,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,1,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,1,5,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,2,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,2,2,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,2,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,2,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,2,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,3,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,3,2,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,3,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,3,4,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,3,5,50,,,,,,1,,,,,,,,,,,,,,,
"live","np7.05",1017,4,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,4,2,50,,1,1,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,4,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,4,4,50,,1,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,4,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,5,1,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,5,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,5,3,50,,1,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,5,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,5,5,50,,1,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,6,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,6,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,6,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,6,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,6,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,7,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,7,2,50,,1,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,7,3,50,1,,,,,,,,1,,,,,,,,,,,,
"live","np7.05",1017,7,4,50,1,,1,,,,,,1,,,,,,,,,,,,
"live","np7.05",1017,7,5,50,1,,,1,,,,,,,,,,,,,,,,,
"live","np7.05",1017,8,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,8,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,8,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,8,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,8,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,9,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,9,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,9,3,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,9,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,9,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,10,1,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,10,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,10,3,50,,,1,,,,,,,,,,,,,,,,,,
"live","np7.05",1017,10,4,50,1,,,,,,,,,,,,,1,,,,,,,
"live","np7.05",1017,10,5,50,1,,,,,,,,1,,,,,,,,,,,,
"live","np2.08",996,1,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,1,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,1,3,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np2.08",996,1,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,1,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,2,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,2,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,2,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,2,4,50,1,,,,1,,,,,,,,,,,,,,,,
"live","np2.08",996,2,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,3,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,3,2,50,,,1,,,,,,,,,,,,,,,,,,
"live","np2.08",996,3,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,3,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,3,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,4,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,4,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,4,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,4,4,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np2.08",996,4,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,5,1,50,,1,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,5,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,5,3,50,,1,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,5,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,5,5,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,6,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,6,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,6,3,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,6,4,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np2.08",996,6,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,7,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,7,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,7,3,50,,,1,1,,,,,,,,,,,,,,,,,
"live","np2.08",996,7,4,50,,,1,,,,,,,,,,,,,,,,,,
"live","np2.08",996,7,5,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np2.08",996,8,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,8,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,8,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,8,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,8,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,9,1,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,9,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,9,3,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np2.08",996,9,4,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np2.08",996,9,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,10,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,10,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np2.08",996,10,3,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np2.08",996,10,4,50,1,,,,,,,,,,1,,,,,,,,,,
"live","np2.08",996,10,5,50,1,,,1,,,,,,,1,,,,,,,,,,
"live","np3.12",1000,1,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,1,2,50,1,,,,,,,,,,,1,,,,,,,,,
"live","np3.12",1000,1,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,1,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,1,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,2,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,2,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,2,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,2,4,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,2,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,3,1,50,1,,,,,,,,,,,1,,,,,,,,,
"live","np3.12",1000,3,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,3,3,50,1,,,1,,,,,,,,1,,,,,,,,,
"live","np3.12",1000,3,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,3,5,50,1,,,1,,,,,,,,,,,,,,,,,
"live","np3.12",1000,4,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,4,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,4,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,4,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,4,5,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,5,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,5,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,5,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,5,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,5,5,50,1,1,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,6,1,50,1,,,1,,,,,,,,,,,,,,,,,
"live","np3.12",1000,6,2,50,1,,,1,,,,,,,,,,,,,,,,,
"live","np3.12",1000,6,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,6,4,50,,,1,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,6,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,7,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,7,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,7,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,7,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,7,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,8,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,8,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,8,3,50,,,,,,,,,,,,,,,,,1,,,,
"live","np3.12",1000,8,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,8,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,9,1,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,9,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,9,3,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,9,4,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,9,5,50,1,,,,,,,,,,,,,,,,,,1,,
"live","np3.12",1000,10,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,10,2,50,1,,,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,10,3,50,1,,1,,,,,,,,,,,,,,,,,,
"live","np3.12",1000,10,4,50,1,,,,,,,,,,,1,,,,,,,,,
"live","np3.12",1000,10,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np6.29",11,1,1,50,1,,,,,,,,1,,,,,,,,,,,,
"live","np6.29",11,1,2,50,1,,,,,,,1,,,,,,,,,,,,,
"live","np6.29",11,1,3,50,1,,,1,,,,,,,,,,,,,1,,,,
"live","np6.29",11,1,4,50,1,,,1,,,,,,,,,,,,,1,,,,
"live","np6.29",11,1,5,50,1,,,,,,,,,,,,,,,,,,,,
