tree,shoot,leaf,pb.gall,pb.abort,phyllo,roll,sp4,sp5,mid.holes,excentric,spot,chomp,edge,stem.gall,tip.chew,tier,round.petiole.gall,edge.miner,tip.miner,lacy,edge.pinch
N4.26,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,16,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
N4.26,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,18,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,18,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
N4.26,18,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
N4.26,18,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N4.26,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,20,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N4.26,20,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N4.26,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N4.26,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,22,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N4.26,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
N1.36,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
N1.36,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
N1.36,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N1.36,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N1.36,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N1.36,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N1.36,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
N1.36,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,6,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0
N1.36,6,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
N1.36,6,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
N1.36,6,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
N1.36,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,7,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
N1.36,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N1.36,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,8,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N1.36,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N1.36,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,10,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
N1.36,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N1.36,11,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N1.36,11,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N1.36,11,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
N1.36,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,12,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0
N1.36,12,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,13,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
N1.36,13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,13,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,14,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
N1.36,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,15,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N1.36,15,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
N1.36,15,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
N1.36,15,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N1.36,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,16,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
N1.36,16,6,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
N1.36,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N1.36,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,17,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N1.36,17,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
N1.36,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,18,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
N1.36,18,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,18,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
N1.36,18,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,18,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
N1.36,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
