Tree ID,Acacon,Acasup,Acaobp,Sterile sp,Brown cr,Lobalp,Canros,Calare,Phydub,Rhichr,Xanlin,Xanpli,Xanele,GrBr cr,Gray cr,Synrur,Cerpur/Bryarg
29RA % cover,0.11,1.04,0.02,0.00,0.00,0.00,1.02,0.00,0.06,0.13,1.59,0.07,0.00,0.00,0.00,0.00,0.00
29SA % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30RA % cover,0.00,0.13,0.00,0.00,0.00,0.00,0.48,0.00,0.13,0.35,0.19,0.17,0.00,0.00,0.00,0.00,0.00
30SA % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00
31RD % cover,0.00,0.06,0.00,0.00,0.00,0.00,0.07,0.00,0.15,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31SD % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32RD % cover,0.28,0.35,0.22,0.00,0.00,0.00,4.26,0.31,2.06,0.93,0.00,2.39,0.72,0.00,0.00,0.11,0.00
32SD % cover,0.00,0.22,0.04,0.00,0.00,0.00,0.37,0.24,0.04,0.11,0.37,0.26,0.00,0.00,0.00,0.00,0.00
33RD % cover,0.02,0.26,0.04,0.13,0.00,0.26,0.87,0.17,0.63,0.63,0.00,1.26,0.00,0.00,0.07,0.11,0.00
33SD % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34RD % cover,0.00,0.00,0.07,0.00,0.00,0.00,0.41,0.00,0.00,0.24,1.52,0.00,0.00,0.00,0.00,1.11,0.00
34SD % cover,0.00,0.15,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.26,0.00,4.33,0.02,0.00,0.00,0.11,0.04
35RD % cover,0.07,0.15,0.00,0.00,0.00,0.09,0.41,0.02,0.17,0.72,0.00,0.00,0.22,0.00,0.00,0.00,0.00
35SD % cover,0.02,0.06,0.04,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
36RD % cover,0.00,0.06,0.04,0.00,0.00,0.00,0.07,0.02,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36SD % cover,0.15,0.43,0.30,0.00,0.19,0.02,1.28,0.37,0.07,0.70,0.43,0.00,0.00,0.00,0.00,0.63,0.00
37RD % cover,0.43,0.07,0.07,0.00,0.00,0.00,0.78,0.04,0.00,1.02,0.06,0.11,0.04,0.00,0.00,0.00,0.00
37SD % cover,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38RD % cover,0.00,0.04,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
38SD % cover,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
39RD % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39SD % cover,0.02,0.20,0.02,0.00,0.00,0.00,0.13,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40RD % cover,0.04,0.00,0.04,0.00,0.00,0.00,0.22,0.00,0.07,0.13,0.37,0.00,0.00,0.00,0.00,0.00,0.00
40SD % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41RD % cover,0.02,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.67,0.00,2.54,0.00,0.00,0.00,0.04,0.00
41SD % cover,0.02,0.00,0.00,0.00,0.00,0.00,0.31,0.02,0.31,0.43,0.00,0.07,0.00,0.00,0.00,0.00,0.00
5SD % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
