"z","nestedtemp"
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
6,6.54288095917124e-06
6,6.54288095917124e-06
6,6.54288095917124e-06
6,6.54288095917124e-06
6,6.54288095917124e-06
6,6.54288095917124e-06
6,6.54288095917124e-06
6,6.54288095917124e-06
6,6.54288095917124e-06
6,6.54288095917124e-06
7,0.943630260733771
7,0.948280331383277
7,0.818883739249833
7,0.9234262464837
7,1.04755483535789
7,1.07471310242652
7,1.14430160193676
7,0.993391304425772
7,1.03496749179821
7,1.21129615229741
8,34.5454036794391
8,35.02090457513
8,34.1147318719667
8,35.4364389000716
8,35.321242913493
8,34.6725867522628
8,35.8481755370971
8,34.8836163573677
8,36.3391713701361
8,35.7663126191377
9,52.7973781327126
9,52.6625923901184
9,52.47911285417
9,52.7632902809819
9,52.6751518105764
9,52.8677306865389
9,52.5915589234017
9,52.6498777040118
9,52.2118122322088
9,52.710224196001
