"z","means","pval","method","statistic","alternative"
-4.37986600629881,51.8021217667868,0.000999000999000999,r00,15.3214413769097,two.sided
-5.62362497978484,49.7360654137826,0.000999000999000999,r0,15.3214413769097,two.sided
-1.87111628006364,24.1104264478902,0.0629370629370629,c0,15.3214413769097,two.sided
-1.85311495462487,26.0951515010239,0.048951048951049,r1,15.3214413769097,two.sided
