"nestedtemp","z"
36.4788462018576,1
37.0932068652506,1
32.8175556389607,1
33.9913371789833,1
34.469348617059,1
36.0565321065677,1
35.9108168912895,1
35.3581902994508,1
37.7313378493121,1
38.7167064082839,1
37.2815188982149,2
37.6854830676024,2
34.7827559873695,2
36.9501696634981,2
34.7846940052992,2
35.1642917900848,2
37.6307865004475,2
35.3388893873062,2
35.7396820380342,2
36.5114898067079,2
37.3678322525756,3
39.6112560144544,3
39.0643499996865,3
33.3356651343382,3
33.6456149846249,3
38.2956474898619,3
35.531034000358,3
34.2165969136681,3
36.0114359818481,3
35.7453948541355,3
37.6845141261383,4
38.5338275949459,4
35.9151806466313,4
35.3935890604235,4
35.8361145845877,4
35.50189364666,4
36.3328680490453,4
35.9445061730176,4
39.3708479323541,4
35.4748439784617,4
35.4279805516616,5
33.5881547769067,5
33.7154473856589,5
37.0970206164332,5
32.1542935913916,5
34.8005385715061,5
32.2081601972677,5
37.1193729360006,5
35.7038373025134,5
33.9657214522753,5
30.0999042708191,6
30.5104433792114,6
33.1753980412601,6
32.3755775415858,6
33.1264182212957,6
33.3844211057722,6
31.1720715807376,6
31.0750776840975,6
29.841254189243,6
30.9638470219767,6
26.1457588274004,7
27.1150593016978,7
24.7792502057883,7
28.3420137006616,7
24.566763692016,7
26.1919491347332,7
25.5055713117494,7
26.1329694522502,7
26.4565865066491,7
26.3041253857372,7
22.7521328739734,8
24.2607808237476,8
23.8196529571978,8
23.7552772145548,8
21.930640130539,8
22.7551897189514,8
22.3537121645168,8
23.2106825207037,8
22.5784293486358,8
24.8788520121181,8
23.9520319939059,9
22.2920747669687,9
24.2693124828614,9
26.4685709770784,9
23.8723439365991,9
23.6614883554579,9
23.6071971881396,9
23.8148061471039,9
23.3399407179885,9
21.6121259852276,9
