"","lower.CI","H2C","upper.CI","z"
"1",-0.0945461761896656,0.0122912730715148,0.119128722332695,1
"2",-0.103124379545274,-0.0293747137195954,0.0443749521060832,1
"3",-0.108988812979842,-0.0745773505733657,-0.0401658881668895,1
"4",-0.0852559799540821,0.0464079415058925,0.178071862965867,1
"5",-0.104010917982022,-0.03475947334506,0.0344919712919021,1
"6",-0.0939312623521016,0.0148051721568748,0.123541606665851,1
"7",-0.0852903429822268,0.0462941986556594,0.177878740293546,1
"8",-0.0951424223380781,0.00980925656621209,0.114760935470502,1
"9",-0.104640486092386,-0.0387851056322316,0.0270702748279229,1
"10",-0.102435152221439,-0.025387363232906,0.0516604257556268,1
"11",-0.0834479466924603,0.052290262457268,0.188028471606996,1
"12",-0.0957544523245068,0.00721344080894171,0.11018133394239,1
"13",-0.101305463512063,-0.019173296551406,0.062958870409251,1
"14",-0.101490514920035,-0.0201662111013629,0.0611580927173092,1
"15",-0.108762091278544,-0.0721201555850888,-0.0354782198916336,1
"16",-0.107140120867143,-0.0570504891036616,-0.00696085734018053,1
"17",-0.102716625519887,-0.0269963504090082,0.0487239247018705,1
"18",-0.0972588589225946,0.000606740599968972,0.0984723401225325,1
"19",-0.100097722372852,-0.012906964691499,0.0742837929898541,1
"20",-0.100426528733162,-0.0145780440533886,0.0712704406263843,1
"21",-0.100180281226496,-0.0133242196467533,0.0735318419329893,1
"22",-0.0905919040262652,0.0277410056887671,0.146073915403799,1
"23",-0.09013883819629,0.0294131293662489,0.148965096928788,1
"24",-0.104282501244302,-0.0364738433460748,0.0313348145521521,1
"25",-0.0998227409819986,-0.0115281708841148,0.0767663992137689,1
"26",-0.105539735602591,-0.0448809690792653,0.0157777974440605,1
"27",-0.0765782656499945,0.073061515742365,0.222701297134725,1
"28",-0.097696785605993,-0.00138225518139642,0.0949322752432002,1
"29",-0.106167338719619,-0.0494224347624511,0.00732246919471669,1
"30",-0.1064604951449,-0.051638775297445,0.00318294455000955,1
"31",-0.0868225888802051,0.0411437450602997,0.169110079000804,1
"32",-0.0947788276810346,0.0113281436406192,0.117435114962273,1
"33",-0.0973819876835205,5.06808021846017e-05,0.0974833492878897,1
"34",-0.0940068039665826,0.01449876573254,0.123004335431663,1
"35",-0.102544744836901,-0.0260107494904622,0.0505232458559769,1
"36",-0.0792282587565344,0.0653163515068264,0.209860961770187,1
"37",-0.0899445288639995,0.0301247761706995,0.150194081205399,1
