,1005,1008,1012,1017,1023,996,11,999,H10,WC5
1005,0,,,,,,,,,
1008,10,0,,,,,,,,
1012,7,8,0,,,,,,,
1017,7,8,4,0,,,,,,
1023,16,15,13,15,0,,,,,
996,8,10,8,8,16,0,,,,
11,8,6,5,5,13,7,0,,,
999,13,11,9,9,18,10,8,0,,
H10,6,10,8,10,17,9,7,11,0,
WC5,17,17,12,14,22,13,12,14,13,0
