"","wses","wsmu","wsp"
"gnu.13",-2.77716009631321,21.7199155555556,0.00739852029594081
"gnu.16",-2.01903764100287,6.41463111111111,0.0381923615276945
"gnu.19",-5.59715751760987,62.6949688888889,0.0001999600079984
"gnu.37",-5.96296302402679,46.76076,0.0001999600079984
"gnu.59",-3.15900978712626,25.4576844444444,0.0001999600079984
"gnu.68.ramet",0,0,1
"gnu.76",-3.89461102416557,17.1713022222222,0.0001999600079984
"gnu.85",-6.81474460235314,80.6750044444444,0.0001999600079984
"ll.1",-4.52130565893517,21.3676577777778,0.0001999600079984
"ll.2",0,0,1
"ll.3",-2.12616025285739,5.05978666666667,0.00539892021595681
"ll.4",-1.06938129504178,8.37654222222222,0.291341731653669
"ll.5",0.174026384490928,51.7197955555556,0.886022795440912
"ll.7",0.0329603159618477,32.54716,0.982803439312138
